Citance Number: 1 | Reference Article:  N04-1042.txt | Citing Article:  C04-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Peng and McCallum (2004) for more details and further experiments.</S> | Reference Offset:  ['65','85'] | Reference Text:  <S sid = 65 ssid = >In some experiments described below we use feature induction.</S><S sid = 85 ssid = >Here we also briefly describe a HMM model we used in our experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1042.txt | Citing Article:  P14-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this underlying model, we employ a chain structured conditional random field (CRF), since CRFs have been shown to perform better than other simple unconstrained models like hidden markov models for citation extraction (Peng and McCallum, 2004).</S> | Reference Offset:  ['12','26'] | Reference Text:  <S sid = 12 ssid = >The first is hidden Markov models (HMM) (Seymore et al., 1999; Takasu, 2003).</S><S sid = 26 ssid = >Conditional random fields (CRFs) are undirected graphical models trained to maximize a conditional probability (Lafferty et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1042.txt | Citing Article:  P14-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Later, CRFs were shown to perform better on CORA, improving the results from the Hmm's token-level F1 of 86.6 to 91.5 with a CRF (Peng and McCallum, 2004).</S> | Reference Offset:  ['126','144'] | Reference Text:  <S sid = 126 ssid = >In our experiments we found the Gaussian prior to consistently perform better than the others.</S><S sid = 144 ssid = >The results of using different features are shown in Table 6.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1042.txt | Citing Article:  P14-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach is limited in its use of an HMM as an underlying model, as it has been shown that CRFs perform significantly better, achieving 95.37 token-level accuracy on CORA (Peng and McCallum, 2004).</S> | Reference Offset:  ['116','139'] | Reference Text:  <S sid = 116 ssid = >CRFs also perform significantly better than SVMbased approach, yielding new state of the art performance on this task.</S><S sid = 139 ssid = >We would expect the third order model to perform better if enough training data were available.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1042.txt | Citing Article:  W06-2918.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In recent years discriminative probabilistic models have been successfully applied to a number of information extraction tasks in natural language processing (NLP), such as named entity recognition (NER) (McCallum and Li, 2003), noun phrase chunking (Sha and Pereira, 2003) and information extraction from research papers (Peng and McCallum, 2004).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >Accurate Information Extraction From Research Papers Using Conditional Random Fields</S><S sid = 21 ssid = >CRFs have been previously applied to other tasks such as name entity extraction (McCallum and Li, 2003), table extraction (Pinto et al., 2003) and shallow parsing (Sha and Pereira, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


