Citance Number: 1 | Reference Article:  D07-1007.txt | Citing Article:  P10-4014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','135'] | Reference Text:  <S sid = 42 ssid = >In ad dition, the single-word model does not generalize to WSD for phrasal lexical choice, as overlapping spans cannot be specified with the XML markup scheme.</S><S sid = 135 ssid = >Input</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1007.txt | Citing Article:  S10-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike a full blown machine translation task (Carpuat and Wu, 2007), annotators and systems are not required to translate the whole context but just the target word.</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Improving Statistical Machine Translation Using Word Sense Disambiguation</S><S sid = 17 ssid = >61 and unsupervised, on a Senseval WSD task (Carpuat and Wu, 2005a), and therefore suggest that WSD should have a role to play in state-of-the-art SMT systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1007.txt | Citing Article:  W12-1906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Carpuat and Wu, 2007) report an improvement in translation quality by incorporating a WSD system directly in a phrase-based translation system.</S> | Reference Offset:  ['12','31'] | Reference Text:  <S sid = 12 ssid = >Rather, it has beenargued, SMT systems have managed to achieve sig nificant improvements in translation quality without directly addressing translation disambiguation as aWSD task.</S><S sid = 31 ssid = >We then show that incorporating it into a standard phrase-based SMT baseline system consistently improves translation quality across all three different test sets from the Chinese-English IWSLT text translation evaluation,as well as on the larger NIST Chinese-English trans lation task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1007.txt | Citing Article:  W12-1906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The output of this model is incorporated into the machine translation system by providing the WSD probabilities for a phrase translation as extra features in a log-linear model (Carpuat and Wu, 2007).</S> | Reference Offset:  ['41','101'] | Reference Text:  <S sid = 41 ssid = >The single-word model has the disad vantage of forcing the decoder to choose between the baseline phrasal translation probabilities versusthe WSD model predictions for single words.</S><S sid = 101 ssid = >For every phrase in a given SMT input sentence,the WSD probabilities can be used as additional feature in a loglinear translation model, in combination with typical context-independent SMT bilexi con probabilities.</S> | Discourse Facet:  NA | Annotator: Automatic


