Citance Number: 1 | Reference Article: P07-1040 | Citing Article: C08-1014 | Citation Marker Offset: ['17'] | Citation Marker: Rosti et al.,2007b | Citation Offset: ['16','17'] | Citation Text: <S sid ="16" ssid = "16">In this two-pass method, translation performance hinges on the N-best hypotheses that are generated in the first pass (since rescoring occurs on these), so adding the translation candidates generated by other MT systems to these hypotheses could potentially improve the performance.</S><S sid ="17" ssid = "17">This technique is called system combination (Bangalore et al., 2001; Matusov et al., 2006; Sim et al., 2007; Rosti et al., 2007a; Rosti et al., 2007b).</S> | Reference Offset: ['36'] | Reference Text: <S sid ="36" ssid = "36">In this work, confusion networks are generated by using the -best output from each system as the skeleton, and prior probabilities for each network are estimated from the average TER scores between the skeleton and other hypotheses.</S> | Discourse Facet: Method_Citation | 
Citance Number: 2 | Reference Article: P07-1040 | Citing Article: C08-1014 | Citation Marker Offset: ['32'] | Citation Marker: Rosti et al.,2007b | Citation Offset: ['32'] | Citation Text: <S sid ="32" ssid = "7">Confusion network and re-decoding have been well studied in the combination of different MT systems (Bangalore et al., 2001; Matusov et al., 2006; Sim et al., 2007; Rosti et al., 2007a; Rosti et al., 2007b).</S> | Reference Offset: ['36'] | Reference Text: <S sid ="36" ssid = "36">In this work, confusion networks are generated by using the -best output from each system as the skeleton, and prior probabilities for each network are estimated from the average TER scores between the skeleton and other hypotheses.</S> | Discourse Facet: Method_Citation | 
Citance Number: 3 | Reference Article: P07-1040 | Citing Article: C08-1014 | Citation Marker Offset: ['92'] | Citation Marker: Rosti et al.,2007b | Citation Offset: ['88','89','90','91','92'] | Citation Text: <S sid ="88" ssid = "35">Bangalore et al.</S><S sid ="89" ssid = "36">(2001), Sim et al.</S><S sid ="90" ssid = "37">(2007), Rosti et al.</S><S sid ="91" ssid = "38">(2007a), and Rosti et al.</S><S sid ="92" ssid = "39">(2007b) chose the hypothesis that best agrees with other hypotheses on average as the skeleton.</S> | Reference Offset: ['36'] | Reference Text: <S sid ="36" ssid = "36">In this work, confusion networks are generated by using the -best output from each system as the skeleton, and prior probabilities for each network are estimated from the average TER scores between the skeleton and other hypotheses.</S> | Discourse Facet: Method_Citation | 
Citance Number: 4 | Reference Article: P07-1040 | Citing Article: C08-1014 | Citation Marker Offset: ['97'] | Citation Marker: Rosti et al.,2007b | Citation Offset: ['93','94','95','96','97'] | Citation Text: <S sid ="93" ssid = "40">Bangalore et al.</S><S sid ="94" ssid = "41">(2001) used a WER based alignment and Sim et al.</S> <S sid ="95" ssid = "42">(2007), Rosti et al.</S><S sid ="96" ssid = "43">(2007a), and Rosti et al.</S><S sid ="97" ssid = "44">(2007b) used minimum Translation Error Rate (TER) based alignment to build the confusion network.</S> | Reference Offset: ['89'] | Reference Text: <S sid ="89" ssid = "10">The hypothesis resulting in the lowest average TER score when aligned against all other hypotheses is chosen as the skeleton as follows (4) where is the number of systems.</S> | Discourse Facet: Method_Citation | 
Citance Number: 5 | Reference Article: P07-1040 | Citing Article: D09-1115 | Citation Marker Offset: ['7'] | Citation Marker: Rosti et al.,2007a | Citation Offset: ['7'] | Citation Text: <S sid ="7" ssid = "7">In recent several years, the system combination methods based on confusion networks developed rapidly (Bangalore et al., 2001; Matusov et al., 2006; Sim et al., 2007; Rosti et al., 2007a; Rosti et al., 2007b; Rosti et al., 2008; He et al., 2008), which show state-of-the-art performance in benchmarks.</S> | Reference Offset: ['36'] | Reference Text: <S sid ="36" ssid = "36">In this work, confusion networks are generated by using the -best output from each system as the skeleton, and prior probabilities for each network are estimated from the average TER scores between the skeleton and other hypotheses.</S> | Discourse Facet: Method_Citation | 
Citance Number: 6 | Reference Article: P07-1040 | Citing Article: D09-1115 | Citation Marker Offset: ['133', '134'] | Citation Marker: Rosti et al.,2007a | Citation Offset: ['133','134'] | Citation Text: <S sid ="133" ssid = "3">While in lattice decoding, a translation path may skip some nodes as some hypothesis arcs may cross more than one backbone arc. Similar to the features in Rosti et al.</S><S sid ="134" ssid = "4">(2007a), the features adopted by lattice-based model are arc posterior probability, language model probability, the number of null arcs, the number of hypothesis arcs possessing more than one non-null word and the number of all non-null words.</S> | Reference Offset: ['124', '125', '126'] | Reference Text: <S sid ="124" ssid = "3">All confusion networks are connected to a single start node with NULL arcs which contain the prior probability from the system used as the skeleton for that network.</S> <S sid ="125" ssid = "4">All confusion network are connected to a common end node with NULL arcs.</S><S sid ="126" ssid = "5">The final arcs have a probability of one.</S> | Discourse Facet: Method_Citation | 
Citance Number: 7 | Reference Article: P07-1040 | Citing Article: D09-1115 | Citation Marker Offset: ['148'] | Citation Marker: Rosti et al.,2007a | Citation Offset: ['147','148'] | Citation Text: <S sid ="147" ssid = "17">Each arc has different confidences concerned with different systems, and the confidence of system s is denoted by ps(arc).</S><S sid ="148" ssid = "18">ps(arc) is increased by 1/(k + 1) if the hypothesis ranking k in the system s contains the arc (Rosti et al., 2007a; He et al., 2008).</S> | Reference Offset: ['80', '81', '82'] | Reference Text: <S sid ="80" ssid = "1">Confusion network decoding in MT has to pick one hypothesis as the skeleton which determines the word order of the combination.</S><S sid ="81" ssid = "2">The other hypotheses are aligned against the skeleton.</S><S sid ="82" ssid = "3">Either votes or some form of confidences are assigned to each word in the network.</S> | Discourse Facet: Method_Citation | 
Citance Number: 8 | Reference Article: P07-1040 | Citing Article: N09-2003 | Citation Marker Offset: ['24', '25'] | Citation Marker: 2007.0 | Citation Offset: ['24','25'] | Citation Text: <S sid ="24" ssid = "24">Qc 2009 Association for Computational Linguistics System Combination: In a typical system combination task, e.g. Rosti et al.</S><S sid ="25" ssid = "25">(2007), each component system produces a set of translations, which are then grafted to form a confusion network.</S> | Reference Offset: ['119', '120', '121'] | Reference Text: <S sid ="119" ssid = "15">On a test set, the first set of weights is used to generate an -best list from the bi-gram expanded lattice.</S><S sid ="120" ssid = "16">This -best list is then re-scored with the higher order -gram.</S><S sid ="121" ssid = "17">The second set of weights is used to find the final -best from the re-scored -best list.</S> | Discourse Facet: Method_Citation | 
Citance Number: 9 | Reference Article: P07-1040 | Citing Article: P08-2021 | Citation Marker Offset: ['2', '3'] | Citation Marker: 2007.0 | Citation Offset: ['2','3'] | Citation Text: <S sid ="2" ssid = "2">We build our confusion networks using the method of Rosti et al.</S><S sid ="3" ssid = "3">(2007), but, instead of forming alignments using the tercom script (Snover et al., 2006), we create alignments that minimize invWER (Leusch et al., 2003), a form of edit distance that permits properly nested block movements of substrings.</S> | Reference Offset: ['36'] | Reference Text: <S sid ="36" ssid = "36">In this work, confusion networks are generated by using the -best output from each system as the skeleton, and prior probabilities for each network are estimated from the average TER scores between the skeleton and other hypotheses.</S> | Discourse Facet: Method_Citation | 
Citance Number: 10 | Reference Article: P07-1040 | Citing Article: P08-2021 | Citation Marker Offset: ['23', '24'] | Citation Marker: 2007.0 | Citation Offset: ['23','24'] | Citation Text: <S sid ="23" ssid = "23">The procedure described by Rosti et al.</S> <S sid ="24" ssid = "24">(2007) has been shown to yield significant improvements in translation quality, and uses an estimate of Translation Error Rate (TER) to guide the alignment.</S> | Reference Offset: ['196','197'] | Reference Text: <S sid ="196" ssid = "4">Also, confusion networks generated by using the -best hypothesis from all systems as the skeleton were used with prior probabilities derived from the average TER scores.</S><S sid ="197" ssid = "5">This guarantees that the best path will not be found from a network generated for a system with zero weight.</S> | Discourse Facet: Method_Citation | 
Citance Number: 11 | Reference Article: P07-1040 | Citing Article: P08-2021 | Citation Marker Offset: ['29', '30'] | Citation Marker: 2007.0 | Citation Offset: ['28','29','30'] | Citation Text: <S sid ="28" ssid = "28">In fact, it only requires a procedure for creating pairwise alignments of translations that allow appropriate re-orderings.</S><S sid ="29" ssid = "29">For this, Rosti et al.</S><S sid ="30" ssid = "30">(2007) use the tercom script (Snover et al., 2006), which uses a number of heuristics (as well as dynamic programming) for finding a sequence of edits (insertions, deletions, substitutions and block shifts) that convert an input string to another.</S> | Reference Offset: ['64','70'] | Reference Text: <S sid ="64" ssid = "15">Translation edit rate (TER) (Snover et al., 2006)has been proposed as more intuitive evaluation met 1.</S><S sid ="70" ssid = "21">ric since it is based on the rate of edits required to transform the hypothesis into the reference.</S> | Discourse Facet: Method_Citation | 
