Citance Number: 1 | Reference Article:  P03-1056.txt | Citing Article:  W04-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Because of these characteristics, Chinese has a rather different set of salient ambiguities from the perspective of statistical parsing (Levy and Manning, 2003).</S> | Reference Offset:  ['30','33'] | Reference Text:  <S sid = 30 ssid = >Chinese, as we will show, has a rather different set of salient ambiguities from the perspective of statistical parsing.</S><S sid = 33 ssid = >For purposes of statistical parsing, three salient differences distinguish the two languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1056.txt | Citing Article:  C10-2076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the SVM-Light Toolkit version 6.02 (Joachims, 1999) for the implementation of SVM, and use the Stanford Parser version 1.6 (Levy and Manning, 2003) as the constituent parser and the constituent-to-dependency converter.</S> | Reference Offset:  ['60','144'] | Reference Text:  <S sid = 60 ssid = >We use the factored parsing model of (Klein and Manning, 2002).</S><S sid = 144 ssid = >This is an encouraging result for the use of detailed error analysis followed by focused treestructure enhancements to improved parser performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1056.txt | Citing Article:  C10-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To run the DE classifiers, we use the Stanford Chinese parser (Levy and Manning, 2003) to parse the Chinese side of the MT training data, the devset and test set.</S> | Reference Offset:  ['0','119'] | Reference Text:  <S sid = 0 ssid = >Is It Harder To Parse Chinese Or The Chinese Treebank?</S><S sid = 119 ssid = >To test the impact of Chinese Treebank N/V tagging practices, we tried training the parser with NN and VV training tags merged.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1056.txt | Citing Article:  W08-0408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this work, we use the Stanford Parser (Levy and Manning 2003).</S> | Reference Offset:  ['60','144'] | Reference Text:  <S sid = 60 ssid = >We use the factored parsing model of (Klein and Manning, 2002).</S><S sid = 144 ssid = >This is an encouraging result for the use of detailed error analysis followed by focused treestructure enhancements to improved parser performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1056.txt | Citing Article:  P06-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Levy and Manning (2003) used a factored model that combines an unlexicalized PCFG model with a dependency model.</S> | Reference Offset:  ['60','64'] | Reference Text:  <S sid = 60 ssid = >We use the factored parsing model of (Klein and Manning, 2002).</S><S sid = 64 ssid = >In adapting this parsing model to Chinese, we have retained unchanged the dependency model developed for English; the model backs off to tags, and backoff parameters remain the same.3 In all cases, test input to the parser was segmented but untagged.4 Our focus in parser development has been to refine the PCFG model via stepwise refinements informed by major observed ambiguity classes.</S> | Discourse Facet:  NA | Annotator: Automatic


