Citance Number: 1 | Reference Article:  N04-4038.txt | Citing Article:  H05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both Diab et al (2004) and Habash and Rambow (2005) use support-vector machines with local features; the former for tokenization, POS tagging, and base phrase chunking; the latter for full morphological disambiguation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Support Vector Machines (SVMs) (Vapnik, 1995) are one class of such model.</S><S sid = NA ssid = NA>In this task, we use a setup similar to that of (Kudo and Matsumato, 2000), where 9 types of chunked phrases are recognized using a phrase IOB tagging scheme; Inside I a phrase, Outside O a phrase, and Beginning B of a phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-4038.txt | Citing Article:  P12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use AMIRA (Diab et al, 2004) to annotate Arabic and Tree Tagger (Schmid, 1994) to annotate German.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we present a Support Vector Machine (SVM) based approach to automatically tokenize (segmenting off clitics), part-ofspeech (POS) tag and annotate base phrases (BPs) in Arabic text.</S><S sid = NA ssid = NA>ChunkLink flattens the tree to a sequence of base (non-recursive) phrase chunks with their IOB labels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-4038.txt | Citing Article:  P12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Arabic text is then segmented with AMIRA (Diab et al, 2004) according to the ATB scheme.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Tagging Of Arabic Text: From Raw Text To Base Phrase Chunks</S><S sid = NA ssid = NA>We adapt highly accurate tools that have been developed for English text and apply them to Arabic text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-4038.txt | Citing Article:  W08-0307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This scheme is compatible with the chunker we use (Diab et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this task, we use a setup similar to that of (Kudo and Matsumato, 2000), where 9 types of chunked phrases are recognized using a phrase IOB tagging scheme; Inside I a phrase, Outside O a phrase, and Beginning B of a phrase.</S><S sid = NA ssid = NA>The following example illustrates the tagging scheme: Input: A sequence of (word, POS tag) pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


