Citance Number: 1 | Reference Article:  J94-4002.txt | Citing Article:  E95-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >our model incorporates the text-level of anaphora resolution, a shortcoming of the original SG approach that has recently been removed (Lappin and Leass, 1994), but still is a source of lots of problems.</S> | Reference Offset:  ['0','107'] | Reference Text:  <S sid = 0 ssid = >An Algorithm For Pronominal Anaphora Resolution</S><S sid = 107 ssid = >Shalom Lappin and Herbert J. Leass An Algorithm for Pronominal Anaphora Resolution sentence, attempt to identify their antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J94-4002.txt | Citing Article:  P13-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have used the same weights, listed in table 2, proposed by Lappin and Leass (1994).</S> | Reference Offset:  ['99','232'] | Reference Text:  <S sid = 99 ssid = >The initial weights for each of the above factor types are given in Table 1.</S><S sid = 232 ssid = >One might use such studies to obtain statistical data for determining the reliability of each proposed measure as a predictor of the antecedent—anaphor relation and the orthogonality (independence) of all proposed measures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J94-4002.txt | Citing Article:  P04-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['113','362'] | Reference Text:  <S sid = 113 ssid = >The salience weight of a candidate can be modified in several ways: a.</S><S sid = 362 ssid = >We are also grateful to several anonymous reviewers of Computational Linguistics for helpful comments on earlier drafts of the paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J94-4002.txt | Citing Article:  H05-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lappin and Leass (1994) extracted rules from the output of the English Slot Grammar (ESG) (McCord, 1993).</S> | Reference Offset:  ['27','43'] | Reference Text:  <S sid = 27 ssid = >RAP applies to the syntactic structures of McCord's (1990, 1993, in press) Slot Grammar parser, and like the parser, it is implemented in Prolog.</S><S sid = 43 ssid = >RAP has been implemented for both ESG and GSG (English and German Slot Grammars); we will limit ourselves here to a discussion of the English version.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J94-4002.txt | Citing Article:  E09-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Only one of the four is explicitly aimed at personal-pronoun anaphora RAP (Resolution of Anaphora Procedure) (Lappin and Leass, 1994).</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >An Algorithm For Pronominal Anaphora Resolution</S><S sid = 26 ssid = >We refer to this algorithm as RAP (Resolution of Anaphora Procedure).</S> | Discourse Facet:  NA | Annotator: Automatic


