Citance Number: 1 | Reference Article:  W95-0104.txt | Citing Article:  A00-2019.txt | Citation Marker Offset:  ['23'] | Citation Marker:  1995 | Citation Offset:  ['23'] | Citation Text:  <S sid ="23" ssid = "23">Golding (1995) showed how methods used for WSD (decision lists and Bayesian classifiers) could be adapted to detect errors resulting from common spelling confusions among sets such as there, their, and they&apos;re.</S> | Reference Offset:  ['32','25'] | Reference Text:  <S sid ="32" ssid = "4">\Ve treat context-sensitive spelling correction as a task of word disambiguation.</S><S sid ="25" ssid = "25">\Ve try two ways of combining these components: decision lists, and Bayesian classifiers.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Aakansha Gehlot |


Citance Number: 2 | Reference Article:  W95-0104.txt | Citing Article:  A97-1025.txt | Citation Marker Offset:  ['29'] | Citation Marker:  Golding, 1995 | Citation Offset:  ['29'] | Citation Text:  <S sid ="29" ssid = "7">A number of feature-based methods have been tried, including Bayesian classifiers (Gale, Church, and Yarowsky, 1992; Golding, 1995), decision lists (Yarowsky, 1994), and knowledge-based approaches (McRoy, 1992).</S> |  Reference Offset:  ['25'] | Reference Text:  <S sid ="25" ssid = "25">\Ve try two ways of combining these components: decision lists, and Bayesian classifiers.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 3 | Reference Article:  W95-0104.txt | Citing Article:  A97-1025.txt | Citation Marker Offset:  ['125'] | Citation Marker:  1995 | Citation Offset:  ['125'] | Citation Text:  <S sid ="125" ssid = "1">The results described in this section are based on the 18 confusion sets selected by Golding (1995; 1996).</S> | Reference Offset:  ['63'] | Reference Text:  <S sid ="63" ssid = "12">Table 1 shows the performance of the baseline method for 18 confusion sets.</S> | Discourse Facet:  Results_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 4 | Reference Article:  W95-0104.txt | Citing Article:  C04-1131.txt | Citation Marker Offset:  ['46'] | Citation Marker:  Golding, 1995 | Citation Offset:  ['46'] | Citation Text:  <S sid ="46" ssid = "34">We have also selected a decision list classifier (DL) which is similar to the classifier used by (Yarowsky, 1994) for words having two senses, and extended for more senses by (Golding, 1995).</S> | Reference Offset:  ['17','25'] | Reference Text:  <S sid ="17" ssid = "17">This paper takes Yarowsky&apos;s method as a starting point, and hypothesizes that further improvements can be obtained by taking into account not only the single strongest piece of evidence, but all the available evidence.</S><S sid ="25" ssid = "25">\Ve try two ways of combining these components: decision lists, and Bayesian classifiers.</S> | Discourse Facet:  ['Hypothesis_Citation','Method_Citation'] | Annotator:  Aakansha Gehlot |


Citance Number: 5 | Reference Article:  W95-0104.txt | Citing Article:  D07-1012.txt | Citation Marker Offset:  ['71'] | Citation Marker:  1995 | Citation Offset:  ['71'] | Citation Text:  <S sid ="71" ssid = "36">Golding (1995) builds a classifier based on a rich set of context features.</S> | Reference Offset:  ['18','24'] | Reference Text:  <S sid ="18" ssid = "18">A method is presented for doing this, based on Bayesian classifiers.</S><S sid ="24" ssid = "24">\Ve then apply each of the two component methods mentioned aboveÂ­ context words and collocations.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |


