Citance Number: 1 | Reference Article:  W07-0403.txt | Citing Article:  D07-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, incorporating WSD predictions into an MT decoder based on inversion transduction grammars (Wu, 1997) such as the Bracketing ITG based models of Wu (1996), Zens et al (2004), or Cherry and Lin (2007) would present an intriguing comparison with the present work.</S> | Reference Offset:  ['1','57'] | Reference Text:  <S sid = 1 ssid = >We present a phrasal inversion transduction grammar as an alternative to joint phrasal translation models.</S><S sid = 57 ssid = >Inversion transduction grammar (Wu, 1997), or ITG, is a wellstudied synchronous grammar formalism.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-0403.txt | Citing Article:  P10-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cherry and Lin (2007) incorporate phrase pairs in phrase-based SMT into ITG, and Haghighi et al (2009) introduce Block ITG (BITG), which adds 1-to-many or many-to-1 terminal unary rules.</S> | Reference Offset:  ['18','20'] | Reference Text:  <S sid = 18 ssid = >Phrasal decoders require a phrase table (Koehn et al., 2003), which contains bilingual phrase pairs and scores indicating their utility.</S><S sid = 20 ssid = >It extracts all consistent phrase pairs from word-aligned bitext (Koehn et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-0403.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our first pruning technique is broadly similar to Cherry and Lin (2007a).</S> | Reference Offset:  ['80','105'] | Reference Text:  <S sid = 80 ssid = >Our phrasal ITG is quite similar to the JPTM.</S><S sid = 105 ssid = >We propose a new ITG pruning method that leverages high-confidence links by pruning all spans that are inconsistent with a provided alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-0403.txt | Citing Article:  D09-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For simplicity, we evaluate the objective using an Inversion Transduction Grammar (ITG) (Wu, 1997) that emits phrases as terminal productions, as in (Cherry and Lin, 2007).</S> | Reference Offset:  ['0','57'] | Reference Text:  <S sid = 0 ssid = >Inversion Transduction Grammar for Joint Phrasal Translation Modeling</S><S sid = 57 ssid = >Inversion transduction grammar (Wu, 1997), or ITG, is a wellstudied synchronous grammar formalism.</S> | Discourse Facet:  NA | Annotator: Automatic


