Citance Number: 1 | Reference Article:  P08-1066.txt | Citing Article:  D08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both language-model and translation-model adaptation are implemented on top of a hierarchical Arabic-to-English translation system with string-to dependency rules as described in Shen et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model</S><S sid = NA ssid = NA>Charniak et al. (2003) described a two-step stringto-CFG-tree translation model which employed a syntax-based language model to select the best translation from a target parse forest built in the first step.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1066.txt | Citing Article:  D08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to the features described in Shen et al (2008), a new feature is added to the model for the bias rule weight, allowing the translation system to effectively tune the probability of the rules added by translation model adaptation in order to improve performance on the tuning set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model</S><S sid = NA ssid = NA>The values of the first four features are accumulated on the rules used in a translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1066.txt | Citing Article:  W11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The string-to-tree (Galleyet al 2006) and tree-to-tree (Chiang, 2010) methods have also been the subject of experimentation, as well as other formalisms such as Dependency Trees (Shen et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Galley et al. (2006) extended this string-to-tree model by using Context-Free parse trees to represent the target side.</S><S sid = NA ssid = NA>Next we introduce the four tree operations on dependency structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1066.txt | Citing Article:  P09-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Shen et al (2008) proposed a string-to-dependency model, which restricted the target-side of a rule by dependency structures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a string-to-dependency model for MT, which employs rules that represent the source side as strings and the target side as dependency structures.</S><S sid = NA ssid = NA>A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P08-1066.txt | Citing Article:  N12-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The MT system we used is based on a phrase-based hierarchical model similar to that of Shen et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>',� phrase alignments, where source phrase P ?</S><S sid = NA ssid = NA>This dependency LM can also be used in hierarchical MT systems using lexicalized CFG trees.</S> | Discourse Facet:  NA | Annotator: Automatic


