Citance Number: 1 | Reference Article:  P06-1097.txt | Citing Article:  W10-1701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also, several models are proposed to address the problem of improving generative models with small amount of manual data, including Model 6 (Och and Ney, 2003) and the model proposed by Fraser and Marcu (2006) and its extension called LEAF aligner (Fraser and Marcu, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Fraser and Marcu, 2006) for further details.</S><S sid = NA ssid = NA>This is a small sampling of the kinds of knowledge sources we can use in this framework; many others have been proposed in the literature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1097.txt | Citing Article:  W10-2917.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fraser and Marcu (2006) propose an EMD algorithm, where labeled data is used for discriminative reranking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Fraser and Marcu, 2006) for further details.</S><S sid = NA ssid = NA>We hope that Minimum Error / Maximum Likelihood training using the EMD algorithm can be used for a wide diversity of tasks where there is not enough labeled data to allow supervised estimation of an initial model of reasonable quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1097.txt | Citing Article:  N07-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>With the exception of Fraser and Marcu (2006), these previous publications do not entirely discard the generative models in that they integrate IBM model predictions as features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Fraser and Marcu, 2006) for further details.</S><S sid = NA ssid = NA>All of these also used knowledge from one of the IBM Models in order to obtain competitive results with the baseline (with the exception of (Moore, 2005)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1097.txt | Citing Article:  W07-0403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following the lead of (Fraser and Marcu, 2006), we hand-aligned the first 100 sentence pairs of our training set according to the Blinker annotation guidelines (Melamed, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We created the manual word alignments ourselves, following the Blinker guidelines (Melamed, 1998).</S><S sid = NA ssid = NA>See (Fraser and Marcu, 2006) for further details.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1097.txt | Citing Article:  C10-2084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank the USC Center for High Performance Computing and Communications.</S><S sid = NA ssid = NA>The 1-to-many alignments of the discriminatively reranked extended model are much better than four iterations of Model 4.</S> | Discourse Facet:  NA | Annotator: Automatic


