Citance Number: 1 | Reference Article:  P98-2180.txt | Citing Article:  C00-2119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, we parse them into a default analysis, which can then be expanded and disambiguatcd at later stages of processing using a large semantic knowledge base (Richardson 1997, Richardson et al 1998).</S> | Reference Offset:  ['7','41'] | Reference Text:  <S sid = 7 ssid = >For additional details and background on the creation and use of MindNet, readers are referred to Richardson (1997), Vanderwende (1996), and Dolan et al. (1993).</S><S sid = 41 ssid = >Experiments described elsewhere (Richardson 1997) demonstrate the comprehensive coverage of the information contained in MindNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-2180.txt | Citing Article:  P13-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Others have automatically extracted attribute relations from dictionary definitions (Richardson et al, 1998), structured online sources such as Wikipedia info boxes, (Wu and Weld, 2007) and large-scale collections of high-quality tabular web data (Cafarella et al, 2008).</S> | Reference Offset:  ['11','20'] | Reference Text:  <S sid = 11 ssid = >Although there has been much research on the use of automatic methods for extracting information from dictionary definitions (e.g., Vossen 1995, Wilks et al. 1996), hand-coded knowledge bases, e.g.</S><S sid = 20 ssid = >There have been many other attempts to process dictionary definitions using heuristic pattern matching (e.g., Chodorow et al. 1985), specially constructed definition parsers (e.g., Wilks et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-2180.txt | Citing Article:  W02-1604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Mindnet is a general-purpose database of semantic information (Richardson et al 1998) that has been repurposed as the primary repository of translation information for MT applications.</S> | Reference Offset:  ['0','63'] | Reference Text:  <S sid = 0 ssid = >MindNet: Acquiring and Structuring Semantic Information from Text</S><S sid = 63 ssid = >However, none of these has completely integrated both syntagmatic and paradigmatic information into a single repository, as is the case with MindNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-2180.txt | Citing Article:  W10-2302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MindNet (Richardson et al, 1998) is both an extraction methodology and a lexical ontology different from a word net since it was created automatically from a dictionary and its structure is based on such resources.</S> | Reference Offset:  ['23','47'] | Reference Text:  <S sid = 23 ssid = >Vanderwende (1996) describes in detail the methodology used in the extraction of the semantic relations comprising MindNet.</S><S sid = 47 ssid = >An extended semrel path is a path created from subpaths in two different inverted semrel structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P98-2180.txt | Citing Article:  H05-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['51','104'] | Reference Text:  <S sid = 51 ssid = >Semrel paths are automatically assigned weights that reflect their salience.</S><S sid = 104 ssid = >As the systems for these languages mature, we will create corresponding MindNets, beginning, as we did in English, with the processing of machine-readable reference materials and then adding information gleaned from corpora.</S> | Discourse Facet:  NA | Annotator: Automatic
