Citance Number: 1 | Reference Article:  W98-1411.txt | Citing Article:  N01-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mellish et al (1998) investigate the problem of determining a discourse tree for a set of elementary speech acts which are partially constrained by rhetorical relations.</S> | Reference Offset:  ['1','50'] | Reference Text:  <S sid = 1 ssid = >Marcu has characterised an important and difficult problem in text planning: given a set of facts to convey and a set of rhetorical relations that can be used to link them together, how can one arrange this material so as to yield the best possible text?</S><S sid = 50 ssid = >Building a good RS tree is a search problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W98-1411.txt | Citing Article:  P10-1158.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mellish et al (1998) (and subsequently Karamanis and Manurung 2002) advocate genetic algorithms as an alternative to exhaustively searching for the optimal ordering of descriptions of museum artefacts.</S> | Reference Offset:  ['4','135'] | Reference Text:  <S sid = 4 ssid = >The work was motivated by the needs of the ILEX system for generating descriptions of museum artefacts (in particular, 20th Century jewellery) [Mellish et al 98].</S><S sid = 135 ssid = >Figure 5 summarises the results for subtree swapping and the two genetic algorithms on a set of examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W98-1411.txt | Citing Article:  P10-1158.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following previous work (Mellish et al, 1998) we used a single fitness function that scored candidates based on their coherence.</S> | Reference Offset:  ['33','154'] | Reference Text:  <S sid = 33 ssid = >For instance, in our ILEX domain [Mellish et al 98] the system's goal is something very general like &quot;say interesting things about item X,' subject to length and coherence constraints&quot;.</S><S sid = 154 ssid = >The example text is now in a single paragraph, with a clear link from each sentence to the previous ones.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W98-1411.txt | Citing Article:  P06-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The genetic algorithms of Mellish et al (1998) and Karamanis and Manarung (2002), as well as the greedy algorithm of Lapata (2003), provide no theoretical guarantees on the optimality of the solutions they propose.</S> | Reference Offset:  ['77','135'] | Reference Text:  <S sid = 77 ssid = >In the next section, we describe a couple of methods based on genetic algorithms which proved more productive.</S><S sid = 135 ssid = >Figure 5 summarises the results for subtree swapping and the two genetic algorithms on a set of examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W98-1411.txt | Citing Article:  P04-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the measure from (Mellish et al, 1998) looks at the entire discourse up to the current transition for some of their cost factors.</S> | Reference Offset:  ['49','163'] | Reference Text:  <S sid = 49 ssid = >We also have a number of factors that we would like to take account of in the evaluation (see section 3 below).</S><S sid = 163 ssid = >Nevertheless the approach looks promising enough that it is a real candidate to be used with the • ILEX system.</S> | Discourse Facet:  NA | Annotator: Automatic


