Citance Number: 1 | Reference Article:  P04-1021.txt | Citing Article:  W06-1672.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Li et al 2004) introduced the joint transliteration model whose variant augmented with adaptive re-ranking we used in our experiments.</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >A Joint Source-Channel Model For Machine Transliteration</S><S sid = 21 ssid = >In section 3, a joint source-channel model is formulated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1021.txt | Citing Article:  I08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','179'] | Reference Text:  <S sid = 66 ssid = >.yn where xi are letters and yj are Chinese characters.</S><S sid = 179 ssid = >We expect to see the proposed model to be further explored in other related areas.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1021.txt | Citing Article:  N07-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li et al (2004) presented a framework allowing direct orthographical mapping of transliteration units be tween English and Chinese, and an extended model is presented in Ekbal et al (2006).</S> | Reference Offset:  ['3','178'] | Reference Text:  <S sid = 3 ssid = >This paper presents a new framework that allows direct orthographical mapping (DOM) between two different languages, through a joint source-channel model, also transliteration model (TM). the TM model, we automate the orthographic alignment process to derive the aligned transliteration units from bilingual dictionary.</S><S sid = 178 ssid = >As the proposed framework allows direct orthographical mapping, it can also be easily extended to handle such name translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One Chinese Pinyin string can correspond to several Chinese characters (Li et al, 2004).</S> | Reference Offset:  ['10','42'] | Reference Text:  <S sid = 10 ssid = >Therefore, any foreign name will have only one Pinyin (romanization of Chinese) and thus in Chinese characters.</S><S sid = 42 ssid = >2) Suppose that language dependent graphemeto-phoneme systems are attainable, obtaining Chinese orthography will need two further steps: a) conversion from generic phonemic representation to Chinese Pinyin; b) conversion from Pinyin to Chinese characters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this reason, it has been reported that English-to-Chinese transliteration without Chinese phonemes outperforms that with Chinese phonemes (Li et al, 2004).</S> | Reference Offset:  ['10','13'] | Reference Text:  <S sid = 10 ssid = >Therefore, any foreign name will have only one Pinyin (romanization of Chinese) and thus in Chinese characters.</S><S sid = 13 ssid = >Therefore, we refer all foreign-Chinese transliteration to English-Chinese transliteration, or E2C.</S> | Discourse Facet:  NA | Annotator: Automatic


