Citance Number: 1 | Reference Article:  P99-1008.txt | Citing Article:  W02-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) use Hearst style techniques to learn meronym relation ships (part-whole) from corpora.</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Finding Parts In Very Large Corpora</S><S sid = 16 ssid = >Indeed, in [2] Hearst states that she tried to apply this strategy to the part-of relation, but failed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1008.txt | Citing Article:  P13-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Berland and Charniak, 1999) proposed similar lexico-syntactic patterns to extract part-whole relationships.</S> | Reference Offset:  ['14','38'] | Reference Text:  <S sid = 14 ssid = >In that paper Hearst (a) finds lexical correlates to the hyponym relations by looking in text for cases where known hyponyms appear in proximity (e.g., in the construction (NP, NP and (NP other NN)) as in &quot;boats, cars, and other vehicles&quot;), (b) tests the proposed patterns for validity, and (c) uses them to extract relations from a corpus.</S><S sid = 38 ssid = >Table 2 shows patterns A and B clearly outperform patterns C, D, and E. Although parts occur in all five patterns, the lists for A and B are predominately parts-oriented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1008.txt | Citing Article:  W06-2906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The OtherY-Model performs particularly poorly on smaller data sizes, where coverage of the Hearst-style patterns maybe limited, as also observed by Berland and Charniak (1999).</S> | Reference Offset:  ['21','100'] | Reference Text:  <S sid = 21 ssid = >And although WordNet is hand-built, there is general agreement that corpus-based methods have an advantage in the relative completeness of their coverage, particularly when used as supplements to the more laborintensive methods.</S><S sid = 100 ssid = >This performed quite poorly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1008.txt | Citing Article:  P05-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) report what they believed to be the first work finding part-whole relations from unlabelled corpora.</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Finding Parts In Very Large Corpora</S><S sid = 12 ssid = >To the best of our knowledge, there is no published work on automatically finding parts from unlabeled corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P99-1008.txt | Citing Article:  H05-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In 1999, Berland and Charniak (Berland and Charniak, 1999) applied statistical methods on a very large corpus to find PART-WHOLE relations.</S> | Reference Offset:  ['21','99'] | Reference Text:  <S sid = 21 ssid = >And although WordNet is hand-built, there is general agreement that corpus-based methods have an advantage in the relative completeness of their coverage, particularly when used as supplements to the more laborintensive methods.</S><S sid = 99 ssid = >We then applied the same &quot;strong conditioning, sigdiff&quot; statistical test to rank the candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


