Citance Number: 1 | Reference Article:  E03-1008.txt | Citing Article:  N03-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have explored using different settings for the seed set size (Steedman et al, 2003).</S> | Reference Offset:  ['16','143'] | Reference Text:  <S sid = 16 ssid = >Section 4.4 shows that co-training is possible even when the set of initially labelled data is drawn from a different distribution to either the unlabelled training material or the test set; that is, we show that co-training can help in porting a parser from one genre to another.</S><S sid = 143 ssid = >We saw that co-training outperformed self-training, that it was most beneficial when the seed set was small, and that co-training was possible even when the seed material was from another distribution to both the unlabelled material or the testing set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E03-1008.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically for parsing and POS tagging, self training (Reichart and Rappoport, 2007), co-training (Steedman et al 2003) and active learning (Hwa,2004) have been shown useful in the lightly supervised setup.</S> | Reference Offset:  ['6','90'] | Reference Text:  <S sid = 6 ssid = >Co-training is a wealdy supervised learning algorithm in which two (or more) learners are iteratively retrained on each other's output.</S><S sid = 90 ssid = >The results are shown in Figure 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E03-1008.txt | Citing Article:  P07-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','150'] | Reference Text:  <S sid = 55 ssid = >Next, a subset of the sentences newly labelled by one parser is added to the training data of the other parser, and vice versa.</S><S sid = 150 ssid = >We would like to thank Michael Collins, Andrew McCallum, and Fernando Pereira for helpful discussions, and the reviewers for their comments on this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E03-1008.txt | Citing Article:  P07-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','150'] | Reference Text:  <S sid = 55 ssid = >Next, a subset of the sentences newly labelled by one parser is added to the training data of the other parser, and vice versa.</S><S sid = 150 ssid = >We would like to thank Michael Collins, Andrew McCallum, and Fernando Pereira for helpful discussions, and the reviewers for their comments on this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E03-1008.txt | Citing Article:  P07-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This protocol and that of Steedman et al (2003a) were applied to the problem, with the same seed, self-training and test sets.</S> | Reference Offset:  ['59','107'] | Reference Text:  <S sid = 59 ssid = >Second, we do not require the two parsers to have the same training sets.</S><S sid = 107 ssid = >As the amount of seed data increases, coverage becomes less of a problem, and the co-training advantage is diminished.</S> | Discourse Facet:  NA | Annotator: Automatic


