Citance Number: 1 | Reference Article:  W07-2006.txt | Citing Article:  D08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To address this issue, a coarse-grained English all-words task (Navigli et al, 2007) was conducted during SemEval-2007.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 07: Coarse-Grained English All-Words Task</S><S sid = 1 ssid = >This paper presents the coarse-grained En glish all-words task at SemEval-2007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-2006.txt | Citing Article:  I08-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, in the English coarse grained all words task (Navigli et al,2007) at the recent SemEval Workshop the base line of choosing the most frequent sense using the first WordNet sense attained precision and recall of 78.9% which is only a few percent lower than the top scoring system which obtained 82.5%.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 07: Coarse-Grained English All-Words Task</S><S sid = 1 ssid = >This paper presents the coarse-grained En glish all-words task at SemEval-2007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-2006.txt | Citing Article:  W11-1413.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The problem of how to cluster fine-grained senses into coarse senses is hard, especially if consensus is required (Navigli et al 2007).</S> | Reference Offset:  ['30','39'] | Reference Text:  <S sid = 30 ssid = >In most of the cases, weasked the lexicographer to map senses of the orig inal word to senses of lexically-related words (e.g. WordNet senses of procedural were mapped to ODE senses of procedure, etc.).</S><S sid = 39 ssid = >Only 8 of them were as signed more than one sense: specifically, two coarse senses were assigned to a single word instance4 and two distinct fine-grained senses were assigned to 7 word instances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-2006.txt | Citing Article:  P09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly, the performance of WSD systems clearly indicates that WSD is not easy unless one adopts a coarse-grained approach, and then systems tagging all words at best perform a few percentage points above the most frequent sense heuristic (Navigli et al, 2007).</S> | Reference Offset:  ['101','114'] | Reference Text:  <S sid = 101 ssid = >LCC-WSD ? ?</S><S sid = 114 ssid = >UPV-WSD ? ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-2006.txt | Citing Article:  W09-2405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, results are presented from the SemEval-2007 coarse grained all-words task (Navigli et al, 2007), and we explore the influence of various types of selectors on the algorithm in order to draw insight for future improvement of Web-based methods.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 07: Coarse-Grained English All-Words Task</S><S sid = 1 ssid = >This paper presents the coarse-grained En glish all-words task at SemEval-2007.</S> | Discourse Facet:  NA | Annotator: Automatic


