Citance Number: 1 | Reference Article:  C92-1019.txt | Citing Article:  W06-0128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, the word segmentation program utilizes the word entries, part-of-speech (POS) information (Chen and Liu, 1992) in a monolingual dictionary, segmentation rules (Palmer, 1997), and some statistical information (Sproat, et al, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also there are many word segmentation techniques been developed.</S><S sid = NA ssid = NA>Word Identification For Mandarin Chinese Sentences</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C92-1019.txt | Citing Article:  P14-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Early word-based segmentation work employed simple heuristics like dictionary-lookup maximum matching (Chen and Liu, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Therefore simple matching algo- rithms can not successfully identify either compounds or proper names.</S><S sid = NA ssid = NA>Also there are many word segmentation techniques been developed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C92-1019.txt | Citing Article:  P09-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Here, the Forward Maximum Matching algorithm (Chen and Liu, 1992) based on a dictionary is adopted; c) Stop words filtering.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Keh- J iann Chen Sh ing- l luan Liu Institute of lnfl~rmation Science Academia Sinica Chinese sentences are composed with string of characters without blanks to mark words.</S><S sid = NA ssid = NA>The difficulties of identifying words include (l) the identification of com- plex words, such as Determinative-Measure, redupli- cations, derived words etc., (2) the identification of proper names,(3) resolving the ambiguous segmenta- tions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C92-1019.txt | Citing Article:  W06-0118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our segmentation system, a hybrid strategy is applied (Figure 1): First, forward maximum matching (Chen and Liu, 1992), which is a dictionary-based method, is used to generate asegmentation result.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also there are many word segmentation techniques been developed.</S><S sid = NA ssid = NA>Keh- J iann Chen Sh ing- l luan Liu Institute of lnfl~rmation Science Academia Sinica Chinese sentences are composed with string of characters without blanks to mark words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C92-1019.txt | Citing Article:  W06-0118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our system, the well-known forward maximum matching algorithm (Chen and Liu, 1992) is implemented.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The statistical data supports that the maximal match- ing algorithm is the most effective heuristics.</S><S sid = NA ssid = NA>Keh- J iann Chen Sh ing- l luan Liu Institute of lnfl~rmation Science Academia Sinica Chinese sentences are composed with string of characters without blanks to mark words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C92-1019.txt | Citing Article:  P07-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Chen and Liu,1992) and many subsequent works), or uses the position of characters in a word as the basis for segmentation (Xue, 2003). In terms of processing model, this is a contradiction since segmentation should be the pre-requisite of dictionary lookup and should not presuppose lexical information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also there are many word segmentation techniques been developed.</S><S sid = NA ssid = NA>Therefore the first step of processing Chinese sentences i to identify the words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C92-1019.txt | Citing Article:  P07-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The classical model, described in (Chen and Liu, 1992) and still adopted in many recent works, considers text segmentation as a tokenization.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also there are many word segmentation techniques been developed.</S><S sid = NA ssid = NA>For instance, compounds occur very often in Chi- nese text, but none of the existing systems except ours pay much attention to identify them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C92-1019.txt | Citing Article:  C10-2139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This word-by-word approach ranges from naive maximum matching (Chen and Liu, 1992) to complex solution based on semi-Markov conditional random fields (CRF) (Andrew, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also there are many word segmentation techniques been developed.</S><S sid = NA ssid = NA>Word Identification For Mandarin Chinese Sentences</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C92-1019.txt | Citing Article:  C10-2139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Take for example maximum matching, which was a popular algorithm at the early stage of research (Chen and Liu, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The statistical data supports that the maximal match- ing algorithm is the most effective heuristics.</S><S sid = NA ssid = NA>Keh- J iann Chen Sh ing- l luan Liu Institute of lnfl~rmation Science Academia Sinica Chinese sentences are composed with string of characters without blanks to mark words.</S> | Discourse Facet:  NA | Annotator: Automatic


