Citance Number: 1 | Reference Article:  P03-1071.txt | Citing Article:  N07-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use an automatic topic segmentation tool, LCSeg (Galley et al, 2003) setting parameters so that the derived segments are of the approximate desired length.</S> | Reference Offset:  ['80','85'] | Reference Text:  <S sid = 80 ssid = >We use the error metric Pk proposed by Beeferman et al. (1999) to evaluate segmentation accuracy.</S><S sid = 85 ssid = >LCseg depends on several parameters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1071.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','149'] | Reference Text:  <S sid = 55 ssid = >For all chains that have been identified, we use a weighting scheme that we believe is appropriate to the task of inducing the topical or sub-topical structure of text.</S><S sid = 149 ssid = >This work was funded under the NSF project Mapping Meetings (IIS-012196).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1071.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The gold standard for thematic segmentations has been kindly provided by (Galley et al., 2003) and has been chosen by considering the agreement between at least three human annotations.</S> | Reference Offset:  ['29','30'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 30 ssid = >This corpus is one of a growing number of corpora with human-to-human multi-party conversations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1071.txt | Citing Article:  W06-3408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We evaluated WLM's performance on the ICSI meeting corpus (Janin et al 2003) by comparing our segmentation results to the results obtained by implementing LCSeg (Galley et al, 2003).</S> | Reference Offset:  ['29','91'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 91 ssid = >In the case of the Meeting corpus, none of the algorithms are significantly different than the others, due to the the table are the results of significance tests between U00 and LCseg.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1071.txt | Citing Article:  P07-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, lexical cohesion-based algorithms, such as LCSEG (Galley et al, 2003), or its word frequency-based predecessor TextTile (Hearst, 1997) capture topic shifts by modeling the similarity of word repetition in adjacent windows.</S> | Reference Offset:  ['24','66'] | Reference Text:  <S sid = 24 ssid = >Embodiments of this idea include semantic similarity (Morris and Hirst, 1991; Kozima, 1993), cosine similarity in word vector space (Hearst, 1994), inter-sentence similarity matrix (Reynar, 1994; Choi, 2000), entity repetition (Kan et al., 1998), word frequency models (Reynar, 1999), or adaptive language models (Beeferman et al., 1999).</S><S sid = 66 ssid = >Instead of using word counts to compute similarity, we analyze lexical chains that overlap with the two windows.</S> | Discourse Facet:  NA | Annotator: Automatic


