Citance Number: 1 | Reference Article:  W07-1604.txt | Citing Article:  I08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S> | Reference Offset:  ['3','36'] | Reference Text:  <S sid = 3 ssid = >To address this problem, we use a maximum entropy classifier combined with rule-based filters to detect preposition errors in a corpus of student essays.</S><S sid = 36 ssid = >Izumi et al. (2003) and (2004) used errorannotated transcripts of Japanese speakers in an interview-based test of spoken English to train a maximum entropy classifier (Ratnaparkhi, 1998) to recognize 13 different types of grammatical and lexical errors, including errors involving prepositions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-1604.txt | Citing Article:  I08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chodorow et al (2007) present numbers on an independently developed system for detection of preposition error in non-native English.</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >This paper presents ongoing work on the detection of preposition errors of non-native speakers of English.</S><S sid = 7 ssid = >In particular, preposition usage is one of the most difficult aspects of English grammar for non-native speakers to master.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-1604.txt | Citing Article:  I08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For a first human evaluation of our system prototype, we decided to Chodorow et al (2007) evaluate their system on.</S> | Reference Offset:  ['103','112'] | Reference Text:  <S sid = 103 ssid = >Each preposition in these essays was judged for correctness of usage by one or two human raters.</S><S sid = 112 ssid = >Both precision and recall are low in these comparisons to the human raters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-1604.txt | Citing Article:  W09-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chodorow et al (2007) employed a maximum entropy model to estimate the probability of 34 prepositions based on 25 local context features ranging from words to NP/VP chunks.</S> | Reference Offset:  ['43','50'] | Reference Text:  <S sid = 43 ssid = >To detect the first type of error, incorrect selection, we have employed a maximum entropy (ME) model to estimate the probability of each of 34 prepositions, based on the features in their local contexts.</S><S sid = 50 ssid = >The maximum entropy model was trained with 25 contextual features.</S> | Discourse Facet:  NA | Annotator: Automatic


