Citance Number: 1 | Reference Article:  D11-1006.txt | Citing Article:  D11-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of several drawbacks of this practice is that it weakens any conclusions that could be drawn about how computers (and possibly humans) learn in the absence of explicit feedback (McDonald et al, 2011).</S> | Reference Offset:  ['17','18'] | Reference Text:  <S sid = 17 ssid = >Most notably, it increases our understanding of how computers (and possibly humans) learn in the absence of any explicit feedback.</S><S sid = 18 ssid = >However, the gold POS tag assumption weakens any conclusions that can be drawn, as part-of-speech are also a form of syntactic analysis, only shallower.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D11-1006.txt | Citing Article:  D11-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Part-of-speech tags are known to contain significant amounts of information for unlabeled dependency parsing (McDonald et al, 2011), so we find it reassuring that our latest grammar inducer is less dependent on gold tags than its predecessors.</S> | Reference Offset:  ['79','92'] | Reference Text:  <S sid = 79 ssid = >The key observation is that part-of-speech tags contain a significant amount of information for unlabeled dependency parsing.</S><S sid = 92 ssid = >First, part-of-speech tags contain a significant amount of information for parsing unlabeled dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D11-1006.txt | Citing Article:  D11-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, McDonald et al (2011) demonstrated an impressive alternative to grammar induction by projecting reference parse trees from languages that have annotations to ones that are resource-poor.</S> | Reference Offset:  ['16','57'] | Reference Text:  <S sid = 16 ssid = >The study of unsupervised grammar induction has many merits.</S><S sid = 57 ssid = >Similar tagsets are used by other studies on grammar induction and projection (Naseem et al., 2010; Zeman and Resnik, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D11-1006.txt | Citing Article:  P14-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If parallel data is available, it can be further used to enforce model agreement on this data to adjust for discrepancies between the two languages, for example by means of projected transfer (McDonald et al, 2011).</S> | Reference Offset:  ['28','165'] | Reference Text:  <S sid = 28 ssid = >The model is trained to update towards parses that are in high agreement with a source side English parse based on constraints drawn from alignments in the parallel data.</S><S sid = 165 ssid = >For these experiments we still only use English-target parallel data because that is the format of the readily available data in the Europarl corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


