Citance Number: 1 | Reference Article:  P90-1034.txt | Citing Article:  C04-1165.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hindle (1990) used noun-verb syntactic relations, and Hatzivassiloglou and McKeown (1993) used coordinated adjective-adjective modifier pairs.</S> | Reference Offset:  ['35','99'] | Reference Text:  <S sid = 35 ssid = >In the subject-verb-object table, the root form of the head of phrases is recorded, and the deep subject and object are used when available.</S><S sid = 99 ssid = >This demonstration has depended on: 1) the availability of relatively large text corpora; 2) the existence of parsing technology that, despite a large error rate, allows us to find the relevant syntactic relations in unrestricted text; and 3) (most important) the fact that the lexical relations involved in the distribution of words in syntactic structures are an extremely strong linguistic constraint.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P90-1034.txt | Citing Article:  P07-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hindle (1990) uses a mutual-information based metric derived from the distribution of subject, verb and object in a large corpus to classify nouns.</S> | Reference Offset:  ['1','61'] | Reference Text:  <S sid = 1 ssid = >A method of determining the similarity of nouns on the basis of a metric derived from the distribution of subject, verb and object in a large text corpus is described.</S><S sid = 61 ssid = >We propose the following metric of similarity, based on the mutual information of verbs and arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P90-1034.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second class of algorithms uses co occurrence statistics (Hindle 1990, Lin 1998).</S> | Reference Offset:  ['72','111'] | Reference Text:  <S sid = 72 ssid = >The second column in each table shows the number of instances that the noun appears in a predicate-argument pair (including verb environments not in the list in the fifth column).</S><S sid = 111 ssid = >But it is unlikely that the class is well-defined.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P90-1034.txt | Citing Article:  P06-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >NLP researchers have developed many algorithms for mining knowledge from text and the Web, including facts (Etzioni et al 2005), semantic lexicons (Riloff and Shepherd 1997), concept lists (Lin and Pantel 2002), and word similarity lists (Hindle 1990).</S> | Reference Offset:  ['21','71'] | Reference Text:  <S sid = 21 ssid = >This paper reports an investigation of automatic distributional classification of words in English, using a parser developed for extracting grammatical structures from unrestricted text (Hindle 1983).</S><S sid = 71 ssid = >The first column lists the noun which is similar to boat.</S> | Discourse Facet:  NA | Annotator: Automatic


