Citance Number: 1 | Reference Article:  N06-1003.txt | Citing Article:  W06-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although both methods have gained mainstream acceptance and have shown good correlations with human judgments, their deficiencies have become more evident and serious as research in MT and summarization progresses (Callison-Burch et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-1003.txt | Citing Article:  W06-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Callison-Burch et al (2006) point out three prominent factors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-1003.txt | Citing Article:  W06-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This substitution technique has shown some improvement in translation quality (Callison-Burch et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper we have shown that significant gains in coverage and translation quality can be had by integrating paraphrases into statistical machine translation.</S><S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-1003.txt | Citing Article:  P11-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Typical examples are paraphrasing using bilingual (Callison-Burch et al, 2006) or monolingual (Quirket al, 2004) data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S><S sid = NA ssid = NA>Bannard and Callison-Burch (2005) use bilingual parallel corpora to generate paraphrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N06-1003.txt | Citing Article:  I08-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other proposed methods include paraphrasing (Callison-Burch et al, 2006) and transliteration (Knight and Graehl, 1997) that uses the feature of phonetic similarity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


