Citance Number: 1 | Reference Article:  W03-1812.txt | Citing Article:  W03-1809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baldwin et al (2003) use LSA as a technique foranalysing the compositionality (or decomposability) of a given MWE.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McCarthy et al. (2003) also targeted verb-particles for a study on compositionality, and judged compositionality according to the degree of overlap in the N most similar words to the verbparticle and head verb, e.g., to determine compositionality.</S><S sid = NA ssid = NA>The particular reference lexicon we use to evaluate our technique is WordNet 1.7 (Miller et al., 1990), due to its public availability, hierarchical structure and wide coverage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1812.txt | Citing Article:  W06-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some of these are mutual information (Church and Hanks, 1989), distributed frequency (Tapanainen et al, 1998) and Latent Semantic Analysis (LSA) model (Baldwin et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The particular similarity method we adopt is latent semantic analysis, or LSA (Deerwester et al., 1990).</S><S sid = NA ssid = NA>Multiword expressions (MWEs) are defined to be cohesive lexemes that cross word boundaries (Sag et al., 2002; Copestake et al., 2002; Calzolari et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1812.txt | Citing Article:  W06-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some of them are Frequency, Point-wise mutual information (Church and Hanks, 1989), Distributed frequency of object (Tapanainen et al, 1998), Distributed frequency of object using verb information (Venkatapathyand Joshi, 2005), Similarity of object in verb object pair using the LSA model (Baldwin et al,2003), (Venkatapathy and Joshi, 2005) and Lexical and Syntactic fixedness (Fazly and Stevenson, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our hypothesis of lesser instances of hyponymy for lower similarities is thus supported for low-frequency items but not for high-frequency items, suggesting that LSA similarities are more brittle over high-frequency items for this particular task.</S><S sid = NA ssid = NA>It remains to be determined why LSA should perform better over low-frequency items, although the higher polysemy of high-frequency items is one potential cause.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1812.txt | Citing Article:  E12-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Baldwin et al (2003) studied vector extraction for phrases because they were interested in the decomposability of multi word expressions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multiword expressions (MWEs) are defined to be cohesive lexemes that cross word boundaries (Sag et al., 2002; Copestake et al., 2002; Calzolari et al., 2002).</S><S sid = NA ssid = NA>The major point of divergence from this research is that Schone and Jurafsky focused specifically on MWE extraction, whereas we are interested in the downstream task of semantically classifying attested MWEs.</S> | Discourse Facet:  NA | Annotator: Automatic


