Citance Number: 1 | Reference Article:  W03-1006.txt | Citing Article:  W07-1215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, Chen and Rambow (2003) argue that the kind of deep linguistic features we harvest from FrameNet is beneficial for the successful assignment of PropBank roles to constituents, in this case using TAGs generated from PropBank to generate the relevant features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also experiment with semantic features derived from the PropBank.</S><S sid = NA ssid = NA>We use deep linguistic features to predict semantic roles on syntactic arguments, and show that these perform considerably better than surface-oriented features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1006.txt | Citing Article:  D07-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, in most cases they can only provide a local dependency between predicate and argument for 87% of the argument constituents (Chen and Rambow, 2003), which is too low to provide high SRL accuracy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This can be the tree frame corresponding to either the predicate or the argument.</S><S sid = NA ssid = NA>Furthermore, note the low recall and high precision of the “base + arg” evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1006.txt | Citing Article:  D07-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Chenand Rambow, 2003) use LTAG-based decomposition of parse trees (as is typically done for statistical LTAG parsing) for SRL.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Supertagging returns an almost-parse in the sense that it is performing much parsing disambiguation.</S><S sid = NA ssid = NA>They may be composed by several well-defined operations to form parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1006.txt | Citing Article:  D07-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Path feature from the derived tree, (Chen and Rambow, 2003) uses the path within the elementary tree from the predicate to the constituent argument.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Path.</S><S sid = NA ssid = NA>This is a path in a tree frame from its preterminal to a particular argument node in a tree frame.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-1006.txt | Citing Article:  C04-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Prop was extracted using the PropBank annotations for ar gument/modifier distinction by a method similar to Chen and Rambow (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, because a TAG is extracted from the PropBank, we have a set of semantic features derived indirectly from the PropBank through TAG.</S><S sid = NA ssid = NA>In part this is due to the nature of the PropBank corpus that we are using.</S> | Discourse Facet:  NA | Annotator: Automatic


