Citance Number: 1 | Reference Article:  E09-1005.txt | Citing Article:  S10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They presented a personalized PageRank algorithm over a graph constructed from WordNet similar to (Agirre and Soroa, 2009), with two variants.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S><S sid = NA ssid = NA>We follow the algorithm presented in (Agirre and Soroa, 2008), which we explain here for completeness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E09-1005.txt | Citing Article:  P14-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A natural next step for this research would be to couple sense distribution estimation and the detection of unattested senses with evidence from the context, using topics or other information about the local context (e.g. Agirre and Soroa (2009)) to carry out unsupervised WSD of individual token occurrences of a given word.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Traditional knowledge-based WSD systems assign a sense to an ambiguous word by comparing each of its senses with those of the surrounding context.</S><S sid = NA ssid = NA>Word Sense Disambiguation (WSD) is a key enabling-technology that automatically chooses the intended sense of a word in context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E09-1005.txt | Citing Article:  P12-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, jcn+wmfvec produces similar results to state of-the-art unsupervised systems on SE02, 61.92% F-mearure in (Guo and Diab, 2010) using WN1.7.1, and SE03, 57.4% in (Agirre and Soroa, 2009) using WN1.7.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the relatively small amount of training data available, current state-of-the-art systems only beat the simple most frequent sense (MFS) baseline1 by a small margin.</S><S sid = NA ssid = NA>As an alternative to supervised systems, knowledge-based WSD systems exploit the information present in a lexical knowledge base (LKB) to perform WSD, without using any further corpus evidence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E09-1005.txt | Citing Article:  W12-4105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>PPR2 (Agirre et al, 2010): The system uses the UMLS meta thesaurus as a lexical knowledge graph and executes the Personalized PageRank, a state-of-the-art graph-based method, on the graph (Agirre and Soroa, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we will briefly describe some graph-based methods for knowledge-based WSD.</S><S sid = NA ssid = NA>In this paper we propose a new graph-based method that uses the knowledge in a LKB (based on WordNet) in order to perform unsupervised Word Sense Disambuation.</S> | Discourse Facet:  NA | Annotator: Automatic


