Citance Number: 1 | Reference Article:  W02-1502.txt | Citing Article:  I05-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','120'] | Reference Text:  <S sid = 59 ssid = >Work is also progressing on establishing a standard relational database (using PostgreSQL) for storing information for the lexical entries themselves, improving both scalability and clarity compared to the current simple text file representation.</S><S sid = 120 ssid = >Warmest thanks to Lars Hellan and his colleagues at NTNU and Jan Tore Lønning and his students at Oslo University for their cooperation, patience, and tolerance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-1502.txt | Citing Article:  W07-1214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The SRG is implemented within the Linguistic Knowledge Building (LKB) system (Copestake, 2002), based on the basic components of the grammar Matrix, an open source starter-kit for the development of HPSG grammars developed as part of the LinGO consortium's multilingual grammar engineering (Bender et al, 2002).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >The Grammar Matrix: An Open-Source Starter-Kit For The Rapid Development Of Cross-Linguistically Consistent Broad-Coverage Precision Grammars</S><S sid = 12 ssid = >As part of the LinGO consortium’s multi-lingual grammar engineering effort, we are developing a ‘grammar matrix’ or starter-kit, distilling the wisdom of existing grammars and codifying and documenting it in a form that can be used as the basis for new grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-1502.txt | Citing Article:  E09-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >What I am reporting is thus a perspective on work done primarily by Flickinger within the English Resource Grammar (ERG: Flickinger (2000)) and by Bender in the context of the Grammar Matrix (Bender et al, 2002), though I've been involved in many of the discussions.</S> | Reference Offset:  ['3','23'] | Reference Text:  <S sid = 3 ssid = >In HPSG, the most extensive grammars are those of English (Flickinger, 2000), German (M¨uller & Kasper, 2000), and Japanese (Siegel, 2000; Siegel & Bender, 2002).</S><S sid = 23 ssid = >The matrix is built to give Minimal Recursion Semantics (MRS; Copestake et al., 2001; Copestake, Flickinger, Sag, & Pollard, 1999; Copestake, Flickinger, Malouf, Riehemann, & Sag, 1995) representations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-1502.txt | Citing Article:  W09-2604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper I shall present a treatment of lexical and grammatical tone and vowel length in Hausa, as implemented in an emerging bidirectional HPSG of the language based on the Lingo Grammar Matrix (Bender et al, 2002).</S> | Reference Offset:  ['56','93'] | Reference Text:  <S sid = 56 ssid = >Extensions to the matrix will be based on careful study of existing implemented grammars for other languages, notably German, Spanish and Japanese, as well as feedback from those using the first version of the matrix.</S><S sid = 93 ssid = >These tools could use the type hierarchy to predict where conflicts are likely to arise and bring these to the engineer’s attention, possibly inspired by the approach under development at CSLI for the dynamic maintenance of the LinGO Redwoods treebank (Oepen et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


