Citance Number: 1 | Reference Article:  P03-1019.txt | Citing Article:  C04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has been pointed out in (Zens and Ney, 2003) that the ITG constraints can be characterized as follows: a reordering violates the ITG constraints if and only if it contains (3, 1, 4, 2) or (2, 4, 1, 3) as a subsequence.</S> | Reference Offset:  ['4','65'] | Reference Text:  <S sid = 4 ssid = >In this paper, we compare two different reordering constraints, namely the ITG constraints and the IBM constraints.</S><S sid = 65 ssid = >The interesting point is that a search with the ITG constraints cannot generate a word-reordering that contains one of these two subsequences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1019.txt | Citing Article:  C04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A comparison of the ITG constraints and the IBM constraints for single-word based models can be found in (Zens and Ney, 2003).</S> | Reference Offset:  ['39','199'] | Reference Text:  <S sid = 39 ssid = >Afterwards, we will describe the IBM constraints.</S><S sid = 199 ssid = >We used a single-word based search with IBM Model 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1019.txt | Citing Article:  P13-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Zens and Ney, 2003) did comparative study over different reordering constraints.</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >A Comparative Study On Reordering Constraints In Statistical Machine Translation</S><S sid = 4 ssid = >In this paper, we compare two different reordering constraints, namely the ITG constraints and the IBM constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1019.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >6 compares our results to related work, in particular Zens and Ney (2003).</S> | Reference Offset:  ['203','204'] | Reference Text:  <S sid = 203 ssid = >5 the results for the Verbmobil task are shown.</S><S sid = 204 ssid = >We see that the results on this task are similar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1019.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Related work includes Wu (1997), Zens and Ney (2003) and Wellington et al (2006).</S> | Reference Offset:  ['26','70'] | Reference Text:  <S sid = 26 ssid = >The first constraints are based on inversion transduction grammars (ITG) (Wu, 1995; Wu, 1997).</S><S sid = 70 ssid = >In this section, we will describe the IBM constraints (Berger et al., 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


