Citance Number: 1 | Reference Article:  P06-1032.txt | Citing Article:  P07-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The phrasal Statistical Machine Translation (SMT) technique is employed to identify and correct writing errors (Brockett et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a pilot study of the use of phrasal Statistical Machine Translation (SMT) techniques to identify and correct writing errors made by learners of English as a Second Language (ESL).</S><S sid = NA ssid = NA>In this paper, we explore the use of a large-scale production statistical machine translation system to correct a class of ESL errors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1032.txt | Citing Article:  I08-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent work by Brockett et al (2006) utilized phrasal Statistical Machine Translation (SMT) techniques to correct ESL writing errors and demonstrated that this data-intensive SMT approach is very promising, but they also pointed out SMT approach relies on the availability of large amount of training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a pilot study of the use of phrasal Statistical Machine Translation (SMT) techniques to identify and correct writing errors made by learners of English as a Second Language (ESL).</S><S sid = NA ssid = NA>Correcting ESL Errors Using Phrasal SMT Techniques</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1032.txt | Citing Article:  P11-4005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also thank the Butler Hill Group for collecting the examples in our test set.</S><S sid = NA ssid = NA>3 Countability errors involving these words are scattered across 46 sentences in the CLEC corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1032.txt | Citing Article:  W09-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brockett et al (2006) introduce errors involving mass/count noun confusions into English newswire text and then use the resulting parallel corpus to train a phrasal SMT system to perform error correction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Section 3 discusses the data used in our experiment, which is aimed at repairing a common type of ESL error that is not well-handled by current grammar checking technology: mass/count noun confusions.</S><S sid = NA ssid = NA>This class of errors (involving nouns that cannot be counted, such as information, pollution, and homework) is characteristically encountered in ESL writing by native speakers of several East Asian languages (Dalgish, 1983; Hua & Lee, 2004).1 We began by identifying a list of English nouns that are frequently involved in mass/count errors in by writing by Chinese ESL learners, by taking the intersection of words which: 2 CLEC tagging is not comprehensive; some common mass noun errors (e.g., make a good progress) are not tagged in this corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


