Citance Number: 1 | Reference Article:  P02-1039.txt | Citing Article:  W04-1513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In comparison, in (Yamada and Knight, 2002), which was a phrasal structure based statistical MT system for Chinese to English translation, the Bleu score reported for short sentences (less than 14 words) is 0.099 to 0.102.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Decoder For Syntax-Based Statistical MT</S><S sid = NA ssid = NA>We selected 347 short sentences (less than 14 words in the reference English translation) from the held-out portion of the corpus, and they were used for evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1039.txt | Citing Article:  N04-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Here, we used a model defined by Yamada and Knight (2001) and Yamada and Knight (2002). Internally, the model performs three types of operations on each node of a parse tree.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The syntax-based TM defined by (Yamada and Knight, 2001) assumes an English parse tree as a channel input.</S><S sid = NA ssid = NA>This paper describes a decoding algorithm for a syntax-based translation model (Yamada and Knight, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1039.txt | Citing Article:  N04-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The model is further extended to incorporate phrasal translations performed at each node of the input parse tree (Yamada and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The translation model was extended to incorporate phrasal translations.</S><S sid = NA ssid = NA>The model has been extended to incorporate phrasal translations as presented here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1039.txt | Citing Article:  W06-3119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While (Yamada and Knight, 2002) represent syntactical information in the decoding process through a series of transformation operations, we operate directly at the phrase level.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Yamada, 2002) for details.</S><S sid = NA ssid = NA>This paper describes a decoding algorithm for a syntax-based translation model (Yamada and Knight, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1039.txt | Citing Article:  C04-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The syntactically supervised model has been found to outperform the IBM word-level alignment models of Brown et al (1993) for translation by Yamada and Knight (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the IBM models defined by a pioneering paper (Brown et al., 1993), a decoding algorithm based on a left-to-right search was described in (Berger et al., 1996).</S><S sid = NA ssid = NA>Recently (Yamada and Knight, 2001) introduced a syntax-based TM which utilized syntactic structure in the channel input, and showed that it could outperform the IBM model in alignment quality.</S> | Discourse Facet:  NA | Annotator: Automatic


