Citance Number: 1 | Reference Article:  J04-4002.txt | Citing Article:  N04-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our baseline MT system is the alignment template system described in detail by Och, Tillmann, and Ney (1999) and Och and Ney (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Och and Ney The Alignment Template Approach to Statistical Machine Translation 4.1.1 Alignment Template Selection.</S><S sid = NA ssid = NA>For single-word-based search in MT, a similar algorithm has been described in Tillmann and Ney (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J04-4002.txt | Citing Article:  P14-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the word alignments to construct a phrase table by applying the consistent phrase pair heuristic (Och and Ney, 2004) to all 5-grams.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following, we describe the criterion that defines the set of phrases that is consistent with the word alignment matrix: Hence, the set of all bilingual phrases that are consistent with the alignment is constituted by all bilingual phrase pairs in which all words within the source language phrase are aligned only with the words of the target language phrase and the words of the target language phrase are aligned only with the words of the source language phrase.</S><S sid = NA ssid = NA>Note that we require that at least one word in the source language phrase be aligned with at least one word of the target language phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J04-4002.txt | Citing Article:  W12-3153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The retrieval results are then used as input to a standard SMT pipeline to train translation models, starting from unsupervised induction of word alignments (Och and Ney, 2000) to phrase-extraction (Och and Ney, 2004) and phrase-based decoding (Koehn et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Compared to the word-based statistical translation models in Brown et al. (1993), this model is based on a (statistical) phrase lexicon instead of a single-word-based lexicon.</S><S sid = NA ssid = NA>In Section 3, we describe the statistical alignment models used to obtain a word alignment and techniques for learning phrase translations from word alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J04-4002.txt | Citing Article:  W12-3153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on these word-alignments, we extract phrases by applying the grow-diag-final-and heuristic and using Och and Ney (2004)'s phrase extraction algorithm as implemented in Moses (Koehn et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Compared to the word-based statistical translation models in Brown et al. (1993), this model is based on a (statistical) phrase lexicon instead of a single-word-based lexicon.</S><S sid = NA ssid = NA>Figure 3 gives the algorithm phrase-extract that computes the phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


