Citance Number: 1 | Reference Article:  D07-1003.txt | Citing Article:  P08-2037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Wang et al (2007) explored the use a formalism called quasi synchronous grammar (Smith and Eisner, 2006) in order to find a more explicit model for matching the set of dependencies, and yet still allow for looseness in the matching.</S> | Reference Offset:  ['39','77'] | Reference Text:  <S sid = 39 ssid = >Our story makes use of a weighted formalism known as quasi-synchronous grammar (hereafter, QG), originally developed by D. Smith and Eisner(2006) for machine translation.</S><S sid = 77 ssid = >Here, following Smith and Eisner (2006), we usea weighted, quasi-synchronous dependency grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1003.txt | Citing Article:  P13-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wang et al (2007) use quasi-synchronous translation to map all parent-child paths in a question to any path in an answer.</S> | Reference Offset:  ['167','170'] | Reference Text:  <S sid = 167 ssid = >Augmented with the q.-side dependency la bel.child-parent Question parent-child pair align respectively to answer child-parent pair.</S><S sid = 170 ssid = >same node Question parent-child pair align to the same answer-word.siblings Question parent-child pair align to sib lings in the answer.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1003.txt | Citing Article:  E12-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, in (Wang et al 2007), a quasi-synchronous grammar (Smith and Eisner,2006) is used to model relations between questions and answer sentences.</S> | Reference Offset:  ['0','77'] | Reference Text:  <S sid = 0 ssid = >What is the Jeopardy Model? A Quasi-Synchronous Grammar for QA</S><S sid = 77 ssid = >Here, following Smith and Eisner (2006), we usea weighted, quasi-synchronous dependency grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1003.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Indeed, the QG formalism has been previously applied to parser adaptation and projection (Smith and Eisner, 2009), paraphrase identification (Das and Smith, 2009), question answering (Wang et al, 2007), and title generation (Woodsend et al, 2010).</S> | Reference Offset:  ['39','215'] | Reference Text:  <S sid = 39 ssid = >Our story makes use of a weighted formalism known as quasi-synchronous grammar (hereafter, QG), originally developed by D. Smith and Eisner(2006) for machine translation.</S><S sid = 215 ssid = >Cui et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1003.txt | Citing Article:  C10-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['84','270'] | Reference Text:  <S sid = 84 ssid = >The player knows the answer (or at least thinks he knows the answer) and must quickly turn it into a question.2 The question-answer pairs used on Jeopardy!</S><S sid = 270 ssid = >This work is supported in part by ARDA/DTO Advanced Question Answering for Intelligence (AQUAINT) program award number NBCHC040164.</S> | Discourse Facet:  NA | Annotator: Automatic


