Citance Number: 1 | Reference Article:  D07-1061.txt | Citing Article:  W08-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We further note that our results are different from that of (Hughes and Ramage, 2007) as they use extensive feature engineering and weight tuning during the graph generation process that we have not been able to reproduce.</S> | Reference Offset:  ['201','252'] | Reference Text:  <S sid = 201 ssid = >Note thatin the limit as ? ?</S><S sid = 252 ssid = >Note that ZKL?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1061.txt | Citing Article:  P14-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hughes and Ramage (2007) find that PPR+cos has high correlation with human similarity judgments on WordNet-based graphs.</S> | Reference Offset:  ['33','230'] | Reference Text:  <S sid = 33 ssid = >The similarity scores produced by our method are, to our knowledge, the WordNet-based scores most highly correlated with human judgments.</S><S sid = 230 ssid = >The evaluation here focuses on correlation with human judgments of relatedness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1061.txt | Citing Article:  P14-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1061.txt | Citing Article:  C08-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1061.txt | Citing Article:  N09-2060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D07-1061.txt | Citing Article:  D11-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


