Citance Number: 1 | Reference Article:  J10-3003.txt | Citing Article:  P11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For a more extensive survey on paraphrasing methods, see Androutsopoulos and Malakasiotis (2010) and Madnani and Dorr (2010).</S> | Reference Offset:  ['0','456'] | Reference Text:  <S sid = 0 ssid = >Generating Phrasal and Sentential Paraphrases: A Survey of Data-Driven Methods</S><S sid = 456 ssid = >Kok and Brockett (2010) present a novel take on generating phrasal paraphrases with bilingual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J10-3003.txt | Citing Article:  W12-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are various data-driven approaches to this NLP-task (Madnani and Dorr, 2010), but they usually focus on lexical paraphrases and do not address the problem of sentence splitting, either.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Generating Phrasal and Sentential Paraphrases: A Survey of Data-Driven Methods</S><S sid = 2 ssid = >Moreover, the task of automatically generating or extracting semantic equivalences for the various units of language— words, phrases, and sentences—is an important part of natural language processing (NLP) and is being increasingly employed to improve the performance of several NLP applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J10-3003.txt | Citing Article:  D11-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Madnani and Dorr (2010) survey a variety of data driven paraphrasing techniques, categorizing them based on the type of data that they use.</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Generating Phrasal and Sentential Paraphrases: A Survey of Data-Driven Methods</S><S sid = 17 ssid = >However, we believe this argument actually strengthens the motivation for a survey that can encourage the community to use paraphrases by providing an applicationindependent, cohesive, and condensed discussion of data-driven paraphrase generation techniques.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J10-3003.txt | Citing Article:  W11-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It could be applied to other data driven paraphrasing techniques (see Madnani and Dorr (2010) for a survey).</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Generating Phrasal and Sentential Paraphrases: A Survey of Data-Driven Methods</S><S sid = 17 ssid = >However, we believe this argument actually strengthens the motivation for a survey that can encourage the community to use paraphrases by providing an applicationindependent, cohesive, and condensed discussion of data-driven paraphrase generation techniques.</S> | Discourse Facet:  NA | Annotator: Automatic


