Citance Number: 1 | Reference Article:  A94-1009.txt | Citing Article:  P06-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Elworthy (1994), in contrast, reports an accuracy of 75.49%, 80.87% and 79.12% for unsupervised word-based HMM trained on parts of the LOB corpora, with a tag set of 134 tags.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the test, four corpora were constructed from the LOB corpus: LOB-B from part B, LOB-L from part L, LOB-B-G from parts B to G inclusive and LOB-l3-3 from parts B to J inclusive.</S><S sid = NA ssid = NA>For example, the LOB tagset used 134 tags, while the Penn treebank tagset has 48.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A94-1009.txt | Citing Article:  P06-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While this observation confirms Elworthy (1994), the impact of error reduction is much less than reported there for English about 70% (79? 94).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Preparing tagged corpora either by hand is labour-intensive and potentially error-prone, and although a semi-automatic approach can be used (Marcus et al., 1993), it is a good thing to reduce the human involvement as much as possible.</S><S sid = NA ssid = NA>Work similar to that described here has been carried out by Merialdo (1994), with broadly similar conclusions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A94-1009.txt | Citing Article:  P00-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Experimental results confirming this wisdom have been presented ,e.g., by Elworthy (1994) and Pereira and Schabes (1992) for EM training of Hidden Markov Models and PCFGs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar results are presented by Merialdo (1994), who describes experiments to compare the effect of training from a hand-tagged corpora and using the Baum-Welch algorithm with various initial conditions.</S><S sid = NA ssid = NA>One widely used approach makes use of a statistical technique called a Hidden Markov Model (HMM).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A94-1009.txt | Citing Article:  W97-0120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although [Kupiec, 1992] presented a very sophisticated method of unsupervised learning, [Elworthy, 1994] reported that re-estimation is not always helpful.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With the availability of large corpora and fast computers, there has been a recent resurgence of interest, and a number of variations on and alternatives to the FB, Viterbi and BW algorithms have been tried; see the work of, for example, Church (Church, 1988), Brill (Brill and Marcus, 1992; Brill, 1992), DeRose (DeRose, 1988) and Kupiec (Kupiec, 1992).</S><S sid = NA ssid = NA>The results suggest that a completely unconstrained initial model does not produce good quality results, and that one 'The technique was originally developed by Kupiec (Kupiec, 1989). accurately trained from a hand-tagged corpus will generally do better than using an approach based on re-estimation, even when the training comes from a different source.</S> | Discourse Facet:  NA | Annotator: Automatic


