Citance Number: 1 | Reference Article:  J98-4003.txt | Citing Article:  W99-0605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Knight and Graehl (1998) proposed a Japanese-English transliteration method based on the mapping probability between English and Japanese katakana sounds.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Japanese has no distinct L and R. sounds: the two English sounds collapse onto the same Japanese sound.</S><S sid = NA ssid = NA>This is an inherently information-losing process, as English R and L sounds collapse onto Japanese r, the 14 English vowel sounds collapse onto the 5 Japanese vowel sounds, etc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-4003.txt | Citing Article:  P14-2046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first is machine transliteration (Knight and Graehl, 1998), in which names and technical terms are translated across languages with different sound systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is challenging to translate names and technical terms across languages with different alphabets and sound inventories.</S><S sid = NA ssid = NA>It is challenging to translate names and technical terms across languages with different alphabets and sound inventories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-4003.txt | Citing Article:  P04-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Knight and Graehl (1998) used a bilingual English-katakana dictionary, a katakana-to-English phoneme mapping, and the CMU Speech Pronunciation Dictionary to create a series of weighted finite-state transducers between English words and katakana that produce and rank transliteration candidates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Of these, 222 were missing from an on-line 100,000-entry bilingual dictionary.</S><S sid = NA ssid = NA>This means that English homonyms will produce exactly the same katakana strings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-4003.txt | Citing Article:  D09-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Compared with the previous work on katakana to-English transliteration, these accuracies do not look particularly high: both Knight and Graehl (1998) and Bilac and Tanaka (2004) report accuracies above 60% for 1-best transliteration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will look at Japanese/English transliteration in this article.</S><S sid = NA ssid = NA>Machine Transliteration</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J98-4003.txt | Citing Article:  D09-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We should emphasize that this is due to the difficulty of our test data, and that we have tested against a baseline that has been shown to outperform Knight and Graehl (1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The katakana symbols are shown in Figure 1, with their Japanese pronunciations.</S><S sid = NA ssid = NA>Alternative data collection methods must be considered.</S> | Discourse Facet:  NA | Annotator: Automatic


