Citance Number: 1 | Reference Article:  W08-0336.txt | Citing Article:  W09-0436.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chinese word segmentation is done by the Stanford Chinese segmenter (Chang et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CRF is a statistical sequence modeling framework introduced by Lafferty et al. (2001), and was first used for the Chinese word segmentation task by Peng et al.</S><S sid = NA ssid = NA>The MaxMatch segmenter is a simple and common baseline for the Chinese word segmentation task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W08-0336.txt | Citing Article:  P12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most obvious example of this lies in languages that do not separate words with white space such as Chinese, Japanese, or Thai, in which the choice of a segmentation standard has a large effect on translation accuracy (Chang et al., 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One widely used standard is the Penn Chinese Treebank (CTB) Segmentation Standard (Xue et al., 2005).</S><S sid = NA ssid = NA>Chinese information retrieval (IR) systems benefit from a segmentation that breaks compound words into shorter “words” (Peng et al., 2002), paralleling the IR gains from compound splitting in languages like German (Hollink et al., 2004), whereas automatic speech recognition (ASR) systems prefer having longer words in the speech lexicon (Gao et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W08-0336.txt | Citing Article:  P11-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has been recognized that varying segmentation granularities are needed for SMT (Chang et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It has been recognized that different NLP applications have different needs for segmentation.</S><S sid = NA ssid = NA>CRF is a statistical sequence modeling framework introduced by Lafferty et al. (2001), and was first used for the Chinese word segmentation task by Peng et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W08-0336.txt | Citing Article:  D10-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All Chinese data was re-segmented with the CRF-based Stanford Chinese segmenter (Chang et al, 2008) that is trained on the segmentation of the Chinese Treebank for consistency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One widely used standard is the Penn Chinese Treebank (CTB) Segmentation Standard (Xue et al., 2005).</S><S sid = NA ssid = NA>CRF is a statistical sequence modeling framework introduced by Lafferty et al. (2001), and was first used for the Chinese word segmentation task by Peng et al.</S> | Discourse Facet:  NA | Annotator: Automatic


