Citance Number: 1 | Reference Article:  W03-0404.txt | Citing Article:  W03-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Others were derived from corpora, including subjective nouns learned from unannotated data using bootstrapping (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Subjective features learned from unannotated documents can augment or enhance features learned from annotated training data using more traditional supervised learning techniques.</S><S sid = NA ssid = NA>Learning Subjective Nouns Using Extraction Pattern Bootstrapping</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-0404.txt | Citing Article:  W12-3810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Subjectivity classification of small units of text, such as individual micro blog posts (Jiang et al, 2011) and sentences (Riloff et al, 2003), has been shown to benefit from additional context.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast, our work classifies individual sentences, as does the research in (Wiebe et al., 1999).</S><S sid = NA ssid = NA>Research in genre classification may include recognition of subjective genres such as editorials (e.g., (Karlgren and Cutting, 1994; Kessler et al., 1997; Wiebe et al., 2001)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-0404.txt | Citing Article:  H05-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al (2003) learned lists of subjective nouns in English, seeding their method with 20 high-frequency, strongly subjective words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>So we searched for each of the 850 nouns in the bootstrapping corpus, sorted them by frequency, and manually selected 20 high-frequency words that we judged to be strongly subjective.</S><S sid = NA ssid = NA>By seeding the algorithms with subjective words, the extraction patterns identified expressions that are associated with subjective nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-0404.txt | Citing Article:  W10-3015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are some Natural Language Processing (NLP) researches that demonstrate the benefit of hedge detection experimentally in several subjects, such as the ICD-9-CM coding of radiology reports and gene named Entity Extraction (Szarvas, 2008), question answering systems (Riloff et al, 2003), information extraction from biomedical texts (Medlock and Briscoe, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many natural language processing applications could benefit from being able to distinguish between factual and subjective information.</S><S sid = NA ssid = NA>Question answering systems should distinguish between factual and speculative answers.</S> | Discourse Facet:  NA | Annotator: Automatic


