Citance Number: 1 | Reference Article:  P02-1001.txt | Citing Article:  D09-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The calculation of expected counts can be formulated using the expectation semiring frame work of Eisner (2002), though that work does not show how to compute expected products of counts which are needed for our gradient calculations.</S> | Reference Offset:  ['136','173'] | Reference Text:  <S sid = 136 ssid = >2 has infinitely many) but expected counts derived from the paths.</S><S sid = 173 ssid = >For example, if every arc had value 1, then expected value would be expected path length.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1001.txt | Citing Article:  D09-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Concurrently with this work, Li and Eisner (2009) have generalized Eisner (2002) to compute expected products of counts on translation forests.</S> | Reference Offset:  ['136','173'] | Reference Text:  <S sid = 136 ssid = >2 has infinitely many) but expected counts derived from the paths.</S><S sid = 173 ssid = >For example, if every arc had value 1, then expected value would be expected path length.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1001.txt | Citing Article:  W10-1718.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have implemented the inside algorithm, the outside algorithm, and the inside-outside speedup described by Li and Eisner (2009), plut the first-order expectation semiring (Eisner, 2002) and its second-order version (Li and Eisner, 2009).</S> | Reference Offset:  ['29','229'] | Reference Text:  <S sid = 29 ssid = >It is common to define further useful operations (as macros), which modify existing relations not by editing their source code but simply by operating on them “from outside.” ∗A brief version of this work, with some additional material, first appeared as (Eisner, 2001a).</S><S sid = 229 ssid = >The key algorithmic ideas of this paper extend from forward-backward-style to inside-outside-style methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1001.txt | Citing Article:  H05-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In some special cases only a linear solver is needed: e.g., for unary rule cycles (Stolcke, 1995), or epsilon-cycles in FSMs (Eisner, 2002).</S> | Reference Offset:  ['220','221'] | Reference Text:  <S sid = 220 ssid = >Knight and Graehl, 20If xi and yi are acyclic (e.g., fully observed strings), and f (or rather its FST) has no a : a cycles, then composition will “unroll” f into an acyclic machine.</S><S sid = 221 ssid = >If only xi is acyclic, then the composition is still acyclic if domain(f) has no a cycles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1001.txt | Citing Article:  D08-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use standard algorithms (Eisner, 2002) to compute the path sums as well as their gradients with respect to theta for optimization (section 4.1).</S> | Reference Offset:  ['141','196'] | Reference Text:  <S sid = 141 ssid = >Alternatively, discard EM and use gradient-based optimization.</S><S sid = 196 ssid = >The same semiring may be used to compute gradients.</S> | Discourse Facet:  NA | Annotator: Automatic


