Citance Number: 1 | Reference Article:  J94-3001.txt | Citing Article:  E95-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >see Kaplan and Kay (1994) for an exposition of the mathematical basis.</S> | Reference Offset:  ['1','4'] | Reference Text:  <S sid = 1 ssid = >This paper presents a set of mathematical and computational tools for manipulating and reasoning about regular languages and regular relations and argues that they provide a solid basis for computational phonology.</S><S sid = 4 ssid = >This paper presents a set of mathematical and computational tools for manipulating and reasoning about regular languages and regular relations and argues that they provide a solid basis for computational phonology.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J94-3001.txt | Citing Article:  P99-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We assume that the reader is familiar with the basic concepts of finite state transducers (FST hereafter), finite state devices that map between two regular languages U and L (Kaplan and Kay, 1994).</S> | Reference Offset:  ['69','142'] | Reference Text:  <S sid = 69 ssid = >A finite-state transducer has two tapes.</S><S sid = 142 ssid = >The accepting automata for regular n-relations are the n-way finite-state transducers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J94-3001.txt | Citing Article:  C96-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two-level formal lists based on that introduced by (Koskenniemi, 1983) (see also (Ritchie et al, 1992) and (Kaplan and Kay, 1994)) are widely used in practical NLP systems, and are deservedly regarded as something of a standard.</S> | Reference Offset:  ['16','817'] | Reference Text:  <S sid = 16 ssid = >For example, we can show that Koskenniemi's (1983) two-level parallel rule systems also denote regular relations.</S><S sid = 817 ssid = >This is the sort of arrangement that Karttunen et al. (1992) discuss.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J94-3001.txt | Citing Article:  C96-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike arbitrary regularization, same-length regular n-relations are closed under intersection and complementation , because a theorem tells us that they correspond to regular languages over of symbols (Kaplan and Kay, 1994, p. 342).</S> | Reference Offset:  ['201','654'] | Reference Text:  <S sid = 201 ssid = >The regular relations differ from the regular languages, however, in that they are not closed under intersection and complementation.</S><S sid = 654 ssid = >The intersection of their same-length relations is therefore regular.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J94-3001.txt | Citing Article:  C96-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Kaplan and Kay, 1994) express CR rules by the relation.</S> | Reference Offset:  ['263','633'] | Reference Text:  <S sid = 263 ssid = >The third and fourth operators enable us to express if-then and if-and-only-if conditions on regular languages.</S><S sid = 633 ssid = >Inspired in part by our early report of the material presented in this paper (Kaplan and Kay 1981), Koskenniemi (1983) proposed an alternative system for recognizing and producing morphological and phonological word-form variants.</S> | Discourse Facet:  NA | Annotator: Automatic


