Citance Number: 1 | Reference Article:  P04-1075.txt | Citing Article:  W06-1660.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is only recently employed in NER (Shen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Tang et al. 2002; Steedman et al.</S><S sid = NA ssid = NA>Support Vector Machines (SVM) is a powerful machine learning method, which has been applied successfully in NER tasks, such as (Kazama et al. 2002; Lee et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1075.txt | Citing Article:  D10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This issue was previously addressed in Shen et al (2004) in the context of named-entity recognition, where they used a two-step procedure to first select the most informative and representative samples, followed by a diversity filter.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multi-Criteria-Based Active Learning For Named Entity Recognition</S><S sid = NA ssid = NA>When selecting a machine-annotated named entity, we compare it with all previously selected named entities in the current batch.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1075.txt | Citing Article:  D07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In a more recent study, Shen et al (2004) consider AL for entity recognition based on Support Vector Machines.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Support Vector Machines (SVM) is a powerful machine learning method, which has been applied successfully in NER tasks, such as (Kazama et al. 2002; Lee et al.</S><S sid = NA ssid = NA>We build our NER model using Support Vector Machines (SVM).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1075.txt | Citing Article:  D07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Another interesting work is to study when to stop active learning.</S><S sid = NA ssid = NA>In SVM, only the support vectors are useful for the classification, which is different from statistical models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1075.txt | Citing Article:  W07-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Given the variety of methods that are available for generating training data efficiently automatically using extant domain resources (Morgan et al, 2004) or semi-automatically (active learning approaches like Shen et al (2004) or systems using seed rules such as Mikheev et al.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Tang et al. 2002; Steedman et al.</S><S sid = NA ssid = NA>Many existing work in the area focus on two approaches: certainty-based methods (Thompson et al. 1999; Tang et al.</S> | Discourse Facet:  NA | Annotator: Automatic


