Citance Number: 1 | Reference Article:  W04-1013.txt | Citing Article:  P04-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >ROUGE-L, ROUGE-W, and ROUGE-S have also been applied in automatic evaluation of summarization and achieved very promising results (Lin 2004).</S> | Reference Offset:  ['0','175'] | Reference Text:  <S sid = 0 ssid = >ROUGE: A Package For Automatic Evaluation Of Summaries</S><S sid = 175 ssid = >We found that (1) ROUGE-2, ROUGE-L, ROUGE-W, and ROUGE-S worked well in single document summarization tasks, (2) ROUGE-1, ROUGE-L, ROUGE-W, ROUGE-SU4, and ROUGE-SU9 performed great in evaluating very short summaries (or headline-like summaries), (3) correlation of high 90% was hard to achieve for multi-document summarization tasks but ROUGE-1, ROUGE-2, ROUGE-S4, ROUGE-S9, ROUGE-SU4, and ROUGE-SU9 worked reasonably well when stopwords were excluded from matching, (4) exclusion of stopwords usually improved correlation, and (5) correlations to human judgments were increased by using multiple references.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-1013.txt | Citing Article:  P14-2052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used ROUGE (Lin, 2004) as an evaluation criterion.</S> | Reference Offset:  ['176','177'] | Reference Text:  <S sid = 176 ssid = >In summary, we showed that the ROUGE package could be used effectively in automatic evaluation of summaries.</S><S sid = 177 ssid = >In a separate study (Lin and Och, 2004), ROUGE-L, W, and S were also shown to be very effective in automatic evaluation of machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-1013.txt | Citing Article:  N10-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Part of this research takes inspiration from the work on automatic evaluation in machine translation (Papineni et al, 2002) and automatic summarisation (Lin, 2004).</S> | Reference Offset:  ['13','177'] | Reference Text:  <S sid = 13 ssid = >Following the successful application of automatic evaluation methods, such as BLEU (Papineni et al., 2001), in machine translation evaluation, Lin and Hovy (2003) showed that methods similar to BLEU, i.e. n-gram co-occurrence statistics, could be applied to evaluate summaries.</S><S sid = 177 ssid = >In a separate study (Lin and Och, 2004), ROUGE-L, W, and S were also shown to be very effective in automatic evaluation of machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-1013.txt | Citing Article:  S12-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >with the addition of skip-bigram features derived from the ROUGE-S (Lin, 2004) measure.</S> | Reference Offset:  ['116','130'] | Reference Text:  <S sid = 116 ssid = >We call the skip-bigram-based Fmeasure, i.e.</S><S sid = 130 ssid = >To achieve this, we extend ROUGE-S with the addition of unigram as counting unit.</S> | Discourse Facet:  NA | Annotator: Automatic


