Citance Number: 1 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Veale (2004) used WordNet to answer 374 multiple-choice SAT analogy questions, achieving an accuracy of 43%, but the best corpus-based approach attains an accuracy of 56% (Turney, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast with the corpus-based approach of Turney and Littman (2005), Veale (2004) applied a lexicon-based approach to the same 374 SAT questions, attaining a score of 43%.</S><S sid = NA ssid = NA>LRA achieves an accuracy of about 56%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The template we use here is similar to Turney (2006), but we have added extra context words before the X and after the Y.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Two words were judged to be highly similar when they tended to have the same kinds of grammatical relations with the same sets of words.</S><S sid = NA ssid = NA>Cognitive scientists distinguish words that are semantically associated (bee–honey) from words that are semantically similar (deer–pony), although they recognize that some words are both associated and similar (doctor–nurse) (Chiarello et al. 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Turney (2006) also selects patterns based on the number of pairs that generate them, but the number of selected patterns is a constant (8000), independent of the number of input word pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In step 2, introducing alternate pairs multiplies the number of pairs by four, resulting in 2,400 pairs.</S><S sid = NA ssid = NA>In step 2, introducing alternate pairs multiplies the number of pairs by four, resulting in 8,976 pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Turney (2006) used a corpus-based algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast with the corpus-based approach of Turney and Littman (2005), Veale (2004) applied a lexicon-based approach to the same 374 SAT questions, attaining a score of 43%.</S><S sid = NA ssid = NA>Barker and Szpakowicz (1998) tried a corpus-based approach that explicitly used a measure of relational similarity, but their measure was based on literal matching, which limited its ability to generalize.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The best previous result is an accuracy of 56.1% (Turney, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LRA achieves an accuracy of about 56%.</S><S sid = NA ssid = NA>Always guessing the majority class would result in an accuracy of 8.2% (49/600).</S> | Discourse Facet:  NA | Annotator: Automatic


