Citance Number: 1 | Reference Article:  W01-0521.txt | Citing Article:  W01-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another approach to this topic, examining the effect of using lexical bigram information, which is very corpus specific, appears in (Gildea, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In particular, lexical bigram statistics appear to be corpus-specific, and our results show that they are of no use when attempting to generalize to new training data.</S><S sid = NA ssid = NA>The lexical bigrams are contained in the most specific distribution for P,,,,.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W01-0521.txt | Citing Article:  P14-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lexicalization allows us to capture bi-lexical relationships along dependency arcs, but it has been previously shown that these add only marginal benefit to Collins's model anyway (Gildea, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parsers cited above all use some variety of lexical dependency feature to capture statistics on the cooccurrence of pairs of words being found in parentchild relations within the parse tree.</S><S sid = NA ssid = NA>Lexical cooccurrence statistics seem to be of no benefit when attempting to generalize to a new corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W01-0521.txt | Citing Article:  N06-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gildea (2001) and Bacchiani et al (2006) show that out-of-domain training data can improve parsing accuracy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Relatively few quantitative parsing results have been reported on other corpora (though see Stolcke et al. (1996) for results on Switchboard, as well as Collins et al.</S><S sid = NA ssid = NA>Roland et al. (2000) find that subcategorization frequencies for certain verbs vary significantly between the Wall Street Journal corpus and the mixed-genre Brown corpus, but that they vary less so between genre-balanced British and American corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W01-0521.txt | Citing Article:  W10-3911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A statistical syntactic parser is known to perform badly if a text to be parsed belongs to a domain which differs from a domain on which the parser is trained (Gildea, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We take as our baseline parser the statistical model of Model 1 of Collins (1997).</S><S sid = NA ssid = NA>Corpus Variation And Parser Performance</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W01-0521.txt | Citing Article:  P10-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous work has shown that parsers typically perform poorly outside of their training domain (Gildea, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A great deal of work has been done outside of the parsing community analyzing the variations between corpora and different genres of text.</S><S sid = NA ssid = NA>Results are shown in Table 3.</S> | Discourse Facet:  NA | Annotator: Automatic


