Citance Number: 1 | Reference Article:  A97-1039.txt | Citing Article:  P99-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['62','63'] | Reference Text:  <S sid = 62 ssid = >The development of REALPRO was partially supported by USAF Rome Laboratory under contracts F3060293-C-0015, F30602-94-C-0124, and F30602-92-C-0163, and by DARPA under contracts F30602-95-2-0005 and F30602-96-C-0220.</S><S sid = 63 ssid = >We are grateful to R. Kittredge, T. Korelsky, D. McCullough, A. Nasr, E. Reiter, and M. White as well as to three anonymous reviewers for helpful comments about earlier drafts of this technical note and/or about REALPRO.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A97-1039.txt | Citing Article:  W10-4205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These realizers, along with RealPro (Lavoie and Rambow, 1997), accept tense as a parameter, but do not calculate it from a semantic representation of overlapping time intervals such as ours (though the Nigel grammar can calculate tense from speech, event, and reference time orderings, discussed below).</S> | Reference Offset:  ['23','34'] | Reference Text:  <S sid = 23 ssid = >REALPRO is really a realizer shell, which allows for a (run-time) configuration using specially formatted Linguistic Knowledge Bases (LKBs) which state grammar rules, lexical entries, and feature defaults.</S><S sid = 34 ssid = >For example if in his/her application all sentences must be in past tense, the user can set the default tense to be past rather than present as follows: The English grammar currently covers a wide range of syntactic phenomena: Most of these points are illustrated by the input in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A97-1039.txt | Citing Article:  P06-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt Deep Syntactic Structures (DSyntSs) as a format for syntactic structures because they can be realized by the fast portable realizer RealPro (Lavoie and Rambow, 1997).</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >A Fast And Portable Realizer For Text Generation Systems</S><S sid = 11 ssid = >The input to REALPRO is a syntactic dependency structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A97-1039.txt | Citing Article:  W08-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['62','63'] | Reference Text:  <S sid = 62 ssid = >The development of REALPRO was partially supported by USAF Rome Laboratory under contracts F3060293-C-0015, F30602-94-C-0124, and F30602-92-C-0163, and by DARPA under contracts F30602-95-2-0005 and F30602-96-C-0220.</S><S sid = 63 ssid = >We are grateful to R. Kittredge, T. Korelsky, D. McCullough, A. Nasr, E. Reiter, and M. White as well as to three anonymous reviewers for helpful comments about earlier drafts of this technical note and/or about REALPRO.</S> | Discourse Facet:  NA | Annotator: Automatic


