Citance Number: 1 | Reference Article:  P08-1076.txt | Citing Article:  P09-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent research indicates that using labeled and unlabeled data in semi-supervised learning (SSL) environment, with an emphasis on graph-based methods, can improve the performance of information extraction from data for tasks such as question classification (Tri et al, 2006), web classification (Liu et al., 2006), relation extraction (Chen et al, 2006), passage-retrieval (Otterbacher et al, 2009), various natural language processing tasks such as part of-speech tagging, and named-entity recognition (Suzuki and Isozaki, 2008), word-sense disambiguation (Niu et al, 2005), etc.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper provides evidence that the use of more unlabeled data in semi-supervised learning can improve the performance of Natural Language Processing (NLP) tasks, such as part-of-speech tagging, syntactic chunking, and named entity recognition.</S><S sid = NA ssid = NA>We observed that ASOsemi prefers ‘nugget extraction’ tasks to ’field segmentation’ tasks (Grenager et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1076.txt | Citing Article:  W09-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our results may encourage the adoption of the SSL method for many other real world applications.</S><S sid = NA ssid = NA>Moreover, our experimental analysis revealed that it may also induce an improvement in the expected performance for unseen data in terms of the unlabeled data coverage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1076.txt | Citing Article:  N09-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Suzuki and Isozaki (2008) provided evidence that the use of more unlabeled data in semi supervised learning could improve the performance of NLP tasks, such as POS tagging, syntactic chunking, and named entities recognition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper provides evidence that the use of more unlabeled data in semi-supervised learning can improve the performance of Natural Language Processing (NLP) tasks, such as part-of-speech tagging, syntactic chunking, and named entity recognition.</S><S sid = NA ssid = NA>In this paper, we focus on traditional and important NLP tasks, namely part-of-speech (POS) tagging, syntactic chunking, and named entity recognition (NER).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1076.txt | Citing Article:  D09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We describe an extension of semi supervised structured conditional models (SS-SCMs) to the dependency parsing problem, whose framework is originally proposed in (Suzuki and Isozaki, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We proposed a simple yet powerful semi-supervised conditional model, which we call JESS-CM.</S><S sid = NA ssid = NA>Actually, there is a difference in that generative models are directed graphical models while our conditional PM is an undirected.</S> | Discourse Facet:  NA | Annotator: Automatic


