Citance Number: 1 | Reference Article:  C00-2137.txt | Citing Article:  W01-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A statistical treatment of Question 1 is presented by Yeh (2000).</S> | Reference Offset:  ['28','237'] | Reference Text:  <S sid = 28 ssid = >One way to answer this question is to assulne that the diffb, rence has a normal or t dis- tribution (Box et al., 1978, Sec.</S><S sid = 237 ssid = >Statistical Methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C00-2137.txt | Citing Article:  W01-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['90','244'] | Reference Text:  <S sid = 90 ssid = >8.7) test does.</S><S sid = 244 ssid = >Jolm Wiley and Sons, Inc. 953</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C00-2137.txt | Citing Article:  P14-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The others are always statistically significant at p? 0.005, calculated with approximate randomization (Yeh, 2000). advantage of test data with a label distribution similar to the training set.</S> | Reference Offset:  ['116','178'] | Reference Text:  <S sid = 116 ssid = >In this test, the valuc in each cell is assumed to have a Poisson distribution.</S><S sid = 178 ssid = >For n > 20, we use an approximate randomization with 1048576 shuf ties.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C00-2137.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The best F score and WER are obtained using the combination of all three dictionaries, HB-dict+GHM-dict+S-dict. Furthermore, the difference between the results using HB-dict+GHM-dict+S-dict and HB-dict+GHMdict is statistically significant (p 0.01), based on the computationally-intensive Monte Carlo method of Yeh (2000), demonstrating the contribution of Sdict.</S> | Reference Offset:  ['184','185'] | Reference Text:  <S sid = 184 ssid = >The results on the test; set, are: Method ~ ~  Precision F-score t i _l_556t  I 49.5% 47.5% Zl: 64.1% 35.2% Two questions being tested are whether the ap- parent ilnt)rovement in reca.ll and F-score f!rom using method I is significant.</S><S sid = 185 ssid = >Also being tested is whether the apparent imt)rovenmnt; in pleci- sion flom using method Ii is significant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C00-2137.txt | Citing Article:  H05-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We think that our tag-word pairs are effective because they are selected by a linguistically meaning Significance was measured with the randomized significance test described in (Yeh, 2000).</S> | Reference Offset:  ['182','199'] | Reference Text:  <S sid = 182 ssid = >We also use tile same shutttes to calcu- late the statistical significance for the recall metric, and compare this significance value with the significance value found for recall analytically by the sign test.</S><S sid = 199 ssid = >952 Similarly, for F-score, the significance level is at most 0.</S> | Discourse Facet:  NA | Annotator: Automatic


