Citance Number: 1 | Reference Article:  J88-2003.txt | Citing Article:  W90-0110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Forward and backward shifts correspond to introducing the consequence or preparatory phases of events [Moens and Steedman, 1988].</S> | Reference Offset:  ['275','357'] | Reference Text:  <S sid = 275 ssid = >In particular, they do not enter in a causal or contingent relation with a when-clause the way corresponding sentences with events as main Computational Linguistics, Volume 14, Number 2, June 1988 23 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference clauses do.</S><S sid = 357 ssid = >Computational Linguistics, Volume 14, Number 2, June 1988 25 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference state of the world at speech time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J88-2003.txt | Citing Article:  W11-0142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Every frame is represented as an example sentence, a syntactic structure and a semantic structure containing semantic predicates and their arguments and temporal information in a way similar to Moens and Steedman (1988).</S> | Reference Offset:  ['40','88'] | Reference Text:  <S sid = 40 ssid = >For example,</S><S sid = 88 ssid = >A nucleus is defined as a structure comprising a culmination, an associated preparatory process, and a consequent state.2 It can be represented pictorially as in Figure 3: Any or all of these elements may be compound: for example, the preparation leading to the culmination of reaching the top of Mt.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J88-2003.txt | Citing Article:  W98-0702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Sue played the piano is nonculminated, while Sue played the sonata signifies a culminated event (this example comes from Moens and Steedman (1988)).</S> | Reference Offset:  ['40','388'] | Reference Text:  <S sid = 40 ssid = >For example,</S><S sid = 388 ssid = >When John left, Sue cried. b.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J88-2003.txt | Citing Article:  E95-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The perfect is analyzed by using the notion of a nucleus (Moens and Steedman, 1988) to account for the inner structure of an eventuality.</S> | Reference Offset:  ['253','367'] | Reference Text:  <S sid = 253 ssid = >The definite nature of tense together with the notion of the nucleus as the knowledge structure that tensed expressions conjure up explain the apparent ambiguity of when-clauses with which this paper began.</S><S sid = 367 ssid = >The notion of nucleus plays a crucial role in this ontology.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J88-2003.txt | Citing Article:  P00-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['137','401'] | Reference Text:  <S sid = 137 ssid = >The question rather seems to concern consequences of the culminated process as a whole.</S><S sid = 401 ssid = >An earlier version of some parts of this paper was presented as Moens and Steedman 1987.</S> | Discourse Facet:  NA | Annotator: Automatic


