Citance Number: 1 | Reference Article:  P06-2006.txt | Citing Article:  P06-4020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Briscoe and Carroll (2006) discuss issues raised by this re annotation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are similar issues with other DepBank features and relations.</S><S sid = NA ssid = NA>There are also issues of incompatible tokenization and lemmatization between the systems and of differing syntactic annotation of similar information, which lead to problems mapping between our GR output and the current DepBank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-2006.txt | Citing Article:  P06-4020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Briscoe and Carroll (2006) show that the system has equivalent accuracy to the PARC XLE parser when the morphosyntactic features in the original DepBank gold standard are taken into account.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Evaluating The Accuracy Of An Unlexicalized Statistical Parser On The PARC DepBank</S><S sid = NA ssid = NA>Kaplan et al. (2004) compare the accuracy and speed of the PARC XLE Parser to Collins’ Model 3 parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-2006.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To remove this variable, we carry out a second evaluation against the Briscoe and Carroll (2006) re annotation of DepBank (King et al, 2003), as described in Clark and Curran (2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features and relations were subsequently checked, corrected and extended interactively with the aid of software tools (King et al., 2003).</S><S sid = NA ssid = NA>King et al. (2003) describe the PARC 700 Dependency Bank (hereinafter DepBank), which consists of 700 WSJ sentences randomly drawn from section 23.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-2006.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This evaluation is particularly relevant for NPs, as the Briscoe and Carroll (2006) corpus has been annotated for internal NP structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, until recently, no WSJ data has been carefully annotated to support relational evaluation.</S><S sid = NA ssid = NA>These sentences have been annotated with syntactic features and with bilexical head-dependent relations derived from the F-structure representation of Lexical Functional Grammar (LFG).</S> | Discourse Facet:  NA | Annotator: Automatic


