Citance Number: 1 | Reference Article:  P10-1110.txt | Citing Article:  P11-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we follow the line of investigation started by Huang and Sagae (2010) and apply dynamic programming to (projective) transition-based dependency parsing (Nivre, 2008).</S> | Reference Offset:  ['0','78'] | Reference Text:  <S sid = 0 ssid = >Dynamic Programming for Linear-Time Incremental Parsing</S><S sid = 78 ssid = >So we apply the same beam search idea from Sec.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P10-1110.txt | Citing Article:  P11-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While our general approach is the same as the one of Huang and Sagae (2010), we depart from their framework by not representing the computations of a parser as a graph-structured stack in the sense of Tomita (1986).</S> | Reference Offset:  ['54','148'] | Reference Text:  <S sid = 54 ssid = >To solve this problem we borrow the idea of “graph-structured stack” (GSS) from Tomita (1991).</S><S sid = 148 ssid = >This work was inspired in part by Generalized LR parsing (Tomita, 1991) and the graph-structured stack (GSS).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P10-1110.txt | Citing Article:  P11-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two examples of feature functions are the word form associated with the topmost and second-topmost node on the stack; adopting the notation of Huang and Sagae (2010), we will write these functions as s0: w and s1: w, respectively.</S> | Reference Offset:  ['24','61'] | Reference Text:  <S sid = 24 ssid = >Feature templates are functions that draw information from the feature window (see Tab.</S><S sid = 61 ssid = >A new state has the form where [i..j] is the span of the top tree s0, and sd..s1 are merely “left-contexts”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P10-1110.txt | Citing Article:  P11-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the following, we take this second approach, which is also the approach of Huang and Sagae (2010).</S> | Reference Offset:  ['11','155'] | Reference Text:  <S sid = 11 ssid = >Specifically, we make the following contributions: input: w0 ... w,,,−1 axiom 0 : (0, ǫ): 0 where ℓ is the step, c is the cost, and the shift cost ξ and reduce costs λ and ρ are: For convenience of presentation and experimentation, we will focus on shift-reduce parsing for dependency structures in the remainder of this paper, though our formalism and algorithm can also be applied to phrase-structure parsing.</S><S sid = 155 ssid = >Second, unlike previous theoretical results about cubic-time complexity, we achieved linear-time performance by smart beam search with prefix cost inspired by Stolcke (1995), allowing for state-of-the-art data-driven parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


