Citance Number: 1 | Reference Article:  J07-3004.txt | Citing Article:  P09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the identification and labeling steps, we train a maximum entropy classifier (Berger et al, 1996) over sections 02-21 of a version of the CCGbank corpus (Hockenmaier and Steedman, 2007) that has been augmented by projecting the Propbank semantic annotations (Boxwell and White, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are 1,286 lexical category types in sections 02–21.</S><S sid = NA ssid = NA>A complete list of the lexical entries in sections 02–21 of the Treebank which use this coindexation mechanism to project nonlocal dependencies is given in the CCGbank manual (Hockenmaier and Steedman 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J07-3004.txt | Citing Article:  S10-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the CCGbank-style dependency output of the parser (Hockenmaier and Steedman,2007), which is a directed graph of head-child relations labelled with the head's lexical category and the argument slot filled by the child.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In both cases, the adjunct category depends on the category of the parent, and the category of the head child is copied from the parent: Given a parent category C, the category of an adjunct child is a unary functor C'/C' if the adjunct child is to the left of the head child (a premodifier), or C'\C' if it is to the right Function composition reduces the number of lexical categories of adjuncts. of the head (a postmodifier).</S><S sid = NA ssid = NA>The category of a complement child is defined by a similar mapping from Treebank labels to categories, for example, {NP} → NP, {PP} → PP.9 The CCG category of the head is a function which takes the category of the complement as argument and returns the category of the parent node.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J07-3004.txt | Citing Article:  P10-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>CCGbank (Hockenmaier and Steedman, 2007) is a corpus of CCG derivations that was semiautomatically converted from the Wall Street Journal section of the Penn treebank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CCGbank: A Corpus of CCG Derivations and Dependency Structures Extracted from the Penn Treebank</S><S sid = NA ssid = NA>They include certain instantiations of type-raising, coordination, or punctuation rules, or rules involved in argument cluster coordinations, pied-piping constructions, or questions, all of which are rare in the Wall Street Journal.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J07-3004.txt | Citing Article:  P10-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, declarative sentences are S [dcl], wh-questions are S [wq] and sentence fragments are S [frg] (Hockenmaier and Steedman, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The category of the root node is determined by the label of the root of the Treebank tree (e.g., {VP} → S\NP, {S, SINV, SQ} → S).8 If the root node has the category S, it typically carries a feature that distinguishes different types of sentences, such as declaratives (S[dcl]), wh-questions (S[wq]), yes–no questions (S[q]), or fragments (S[frg]).</S><S sid = NA ssid = NA>The above example is then re-bracketed: Fragments.</S> | Discourse Facet:  NA | Annotator: Automatic


