Citance Number: 1 | Reference Article:  J93-1003.txt | Citing Article:  W94-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The problem of low counts (i.e. linguistic patterns that were never, or rarely found) has not been analyzed appropriately inmost papers, as convincingly demonstrated in [Dunning, 1993].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These counts were analyzed using the test for binomials described earlier, and the 50 most significant are tabulated in Table 2.</S><S sid = NA ssid = NA>Tile convergence of the log of the likelihood ratio to the asymptotic distribution is demonstrated dramatically in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-1003.txt | Citing Article:  P14-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since then, a variety of statistical methods have been proposed to measure bi-gram association, such as Log-likelihood (Dunning, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, there are a wide variety of distribution free methods that may avoid even the assumption that text can be modeled by multinomial distributions.</S><S sid = NA ssid = NA>The likelihood ratio for this test is where Taking the logarithm of the likelihood ratio gives —21og A -= 2 [log L (pi , , ni) + log Up2 , k2 , n2) — log L(p, , ni) — log L(p,k2, n2)] • For the multinomial case, it is convenient to use the double subscripts and the abbreviations This expression implicitly involves n because E119 = n. Maximizing and taking the logarithm, —21og A = 2 [log L (Pi , ) + log L (P2, K2) — log L(Q, ) — log L (Q, K2)1 where If the null hypothesis holds, then the log-likelihood ratio is asymptotically X2 distributed with k/2 — 1 degrees of freedom.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-1003.txt | Citing Article:  P14-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The likelihood ratio tests (Dunning, 1993) is used for this purpose.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As will be seen, the ranking based on likelihood ratio tests does exactly this.</S><S sid = NA ssid = NA>Likelihood ratio tests are based on the idea that statistical hypotheses can be said to specify subspaces of the space described by the unknown parameters of the statistical model being used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-1003.txt | Citing Article:  P03-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Each element of the resulting vector was replaced with its log-likelihood value (see Definition 10 in Section 2.3) which can be considered as an estimate of how surprising or distinctive a co-occurrence pair is (Dunning, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The likelihood ratio for a hypothesis is the ratio of the maximum value of the likelihood function over the subspace represented by the hypothesis to the maximum value of the likelihood function over the entire parameter space.</S><S sid = NA ssid = NA>The pronounced disparity occurs when ki is larger than the value expected based on the observed value of k2.</S> | Discourse Facet:  NA | Annotator: Automatic


