Citance Number: 1 | Reference Article:  P02-1014.txt | Citing Article:  W02-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Ng and Cardie (2002) for a detailed description of the features.</S> | Reference Offset:  ['30','118'] | Reference Text:  <S sid = 30 ssid = >We use the C4.5 decision tree induction system (Quinlan, 1993) to train a classifier that, given a description of two NPs in a document, NP✂ and NP✄ , decides whether or not they are coreferent.</S><S sid = 118 ssid = >(See the Hand-selected Features block in Table 2.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1014.txt | Citing Article:  P14-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We now show that the search problem in (2) can equivalently be solved by the more intuitive best first decoder (Ng and Cardie, 2002), rather than using the CLE decoder.</S> | Reference Offset:  ['55','56'] | Reference Text:  <S sid = 55 ssid = >Best-first clustering.</S><S sid = 56 ssid = >Rather than a right-to-left search from each anaphoric NP for the first coreferent NP, we hypothesized that a right-to-left search for a highly likely antecedent might offer more precise, if not generally better coreference chains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1014.txt | Citing Article:  P14-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of latent antecedents goes back to the work of Yu and Joachims (2009), although the idea of determining meaningful antecedents for mentions can be tracedback to Ng and Cardie (2002) who used a rule based approach.</S> | Reference Offset:  ['10','97'] | Reference Text:  <S sid = 10 ssid = >This paper presents an NP coreference system that investigates two types of extensions to the Soon et al. corpus-based approach.</S><S sid = 97 ssid = >Two final features make use of an in-house naive pronoun resolution algorithm (PRO RESOLVE) and a rule-based coreference resolution system (RULE RESOLVE), each of which relies on the original and expanded feature sets described above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1014.txt | Citing Article:  P05-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One way to utilize the semantic compatibility is to take it as a feature under the single-candidate learning model as employed by Ng and Cardie (2002).</S> | Reference Offset:  ['19','81'] | Reference Text:  <S sid = 19 ssid = >First, we find that performance drops significantly when using the full feature set, even though the learning algorithms investigated have built-in feature selection mechanisms.</S><S sid = 81 ssid = >In addition, we include four new semantic features to allow finer-grained semantic compatibility tests.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1014.txt | Citing Article:  W11-1814.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the testing phase, we used the best-first clustering as in Ng and Cardie (2002).</S> | Reference Offset:  ['55','138'] | Reference Text:  <S sid = 55 ssid = >Best-first clustering.</S><S sid = 138 ssid = >We plan to continue investigations along these lines, developing, for example, a true best-first clustering coreference framework and exploring a “supervised clustering” approach to the problem.</S> | Discourse Facet:  NA | Annotator: Automatic


