Citance Number: 1 | Reference Article:  A97-1029.txt | Citing Article:  W97-0312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bikel et al (Bikel et al, 1997) report on Nymble, an HMM-based name tagging system operating in English and Spanish.</S> | Reference Offset:  ['4','106'] | Reference Text:  <S sid = 4 ssid = >More recently, the natural language processing community has effectively employed these models for part-ofspeech tagging, as in the seminal (Church, 1988) and other, more recent efforts (Weischedel et al., 1993).</S><S sid = 106 ssid = >We report the results for English and for Spanish and then the results of a set of experiments to determine the impact of the training set size on the algorithm's performance in both English and Spanish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A97-1029.txt | Citing Article:  W03-0432.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most commonly, feature-based classifiers use a set of capitalisation features and a sentence-initial feature (Bikel et al, 1997).</S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >The word feature is the one part of this model which is language-dependent.</S><S sid = 96 ssid = >We then expanded the feature set to its current state in order to capture more subtleties related mostly to numbers; due to increased performance (although not entirely dramatic) on every test, we kept the enlarged feature set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A97-1029.txt | Citing Article:  P01-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nymble (Bikel et al, 1997) uses statistical learning to acquire a Hidden Markov Model (HMM) that recognises NEs in text.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Nymble: A High-Performance Learning Name-Finder</S><S sid = 1 ssid = >This paper presents a statistical, learned approach to finding names and other nonrecursive entities in text (as per the MUC-6 definition of the NE task), using a variant of the standard hidden Markov model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A97-1029.txt | Citing Article:  P05-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Bikelet al, 1997) are other examples of the use of HMMs.</S> | Reference Offset:  ['31','97'] | Reference Text:  <S sid = 31 ssid = >Within each of the name-class states, we use a statistical bigram language model, with the usual one-word-per-state emission.</S><S sid = 97 ssid = >Contrary to our expectations (which were based on our experience with English), Spanish contained many examples of lower-case words in organization and location names.</S> | Discourse Facet:  NA | Annotator: Automatic


