Citance Number: 1 | Reference Article:  D10-1125.txt | Citing Article:  P12-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For projective parsing, dynamic programming for this factorization was derived in Koo and Collins (2010) (Model 1 in that paper), and for non projective parsing, dual decomposition was used for this factorization in Koo et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Dual Decomposition for Parsing with Non-Projective Head Automata</S><S sid = NA ssid = NA>Table 3 shows results for projective and non-projective parsing using the dual decomposition approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D10-1125.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In NLP, Rush et al (2010) and Koo et al (2010) applied dual decomposition to enforce agreement between different sentence-level algorithms for parsing and POS tagging.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, in other recent work, Rush et al. (2010) describe dual decomposition approaches for other NLP problems.</S><S sid = NA ssid = NA>Meshi et al. (2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D10-1125.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent work has shown that a relaxation based on dual decomposition often produces an exact solution for such problems (Koo et al 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, in other recent work, Rush et al. (2010) describe dual decomposition approaches for other NLP problems.</S><S sid = NA ssid = NA>Our work was originally inspired by recent work on dual decomposition for inference in graphical models (Wainwright et al., 2005; Komodakis et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D10-1125.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our dual decomposition inference algorithm, we use K =200 maximum iterations and tune the decay rate following the protocol described by Koo et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, an alternative approach would be to use the dual decomposition algorithm for inference during training.</S><S sid = NA ssid = NA>In all of our experiments we set the value K, the maximum number of iterations of dual decomposition in Figures 1 and 2, to be 5,000.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D10-1125.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we follow Koo et al (2010) and use lazy decoding as part of dual decomposition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Meshi et al. (2010).</S><S sid = NA ssid = NA>Finally, in other recent work, Rush et al. (2010) describe dual decomposition approaches for other NLP problems.</S> | Discourse Facet:  NA | Annotator: Automatic


