Citance Number: 1 | Reference Article:  P97-1035.txt | Citing Article:  W97-0601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the remainder of this paper, we discuss the PARADISE framework (PARAdigm for Dialogue System Evaluation) (Walker et al, 1997), and that it addresses these limitations, as well as others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper describes PARADISE, a general framework for evaluating spoken dialogue agents that addresses these limitations.</S><S sid = NA ssid = NA>This paper presents PARADISE (PARAdigm for DIalogue System Evaluation), a general framework for evaluating spoken rlialogue agents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1035.txt | Citing Article:  W97-0601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Instead, predictions about user satisfaction can be made on the basis of the predictor variables, which is illustrated in the application of PARADISE to sub dialogues in (Walker et al., 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Instead, predictions about user satisfaction can be made on the basis of the predictor variables, as illustrated in the application of PARADISE to subdialogues.</S><S sid = NA ssid = NA>PARADISE represents each cost measure as a function ci that can be applied to any (sub)dialogue.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1035.txt | Citing Article:  W97-0601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While we discussed the representation of an information-seeking dialogue here, AVM representations for negotiation and diagnostic dialogue tasks are also easily constructed (Walker et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, even though the dialogue strategies in Figures 2 and 3 are radically different, the AVM task representation for these dialogues is identical and the performance of the system for the same task can thus be assessed on the basis of the AVM representation.</S><S sid = NA ssid = NA>We propose that an attribute value matrix (AVM) can represent many dialogue tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1035.txt | Citing Article:  W12-1803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first approach to predict user judgments on the basis of interaction metrics is the well-known PARADISE model (Walker et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this case, on the basis of the model in Figure 1, US is treated as the predicted factor.</S><S sid = NA ssid = NA>One widely used approach to evaluation is based on the notion of a reference answer (Hirschman et al., 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


