Citance Number: 1 | Reference Article:  P05-1001.txt | Citing Article:  H05-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ando and Zhang (2005) independently used this phrase, for a semi-supervised, cross-task learner that differs from our unsupervised, cross-instance learner.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We choose this task because the original intention of this shared task was to test the effectiveness of semi-supervised learning methods.</S><S sid = NA ssid = NA>In the first step, we train m predictors independently.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1001.txt | Citing Article:  P14-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Part of the work was supported by ARDA under the NIMD program PNWD-SW-6059.</S><S sid = NA ssid = NA>Structural learning provides a framework for carrying out possible new ideas.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1001.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ando and Zhang (2005) utilized a multi task learner within their semi-supervised algorithm to learn feature representations which were useful across a large number of related tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For semi-supervised learning, the idea is to create many auxiliary prediction problems (relevant to the task) from unlabeled data so that we can learn the shared structureO(useful for the task) using the ASO algorithm.</S><S sid = NA ssid = NA>Although a number of semi-supervised methods have been proposed, their effectiveness on NLP tasks is not always clear.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1001.txt | Citing Article:  P07-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Part of the work was supported by ARDA under the NIMD program PNWD-SW-6059.</S><S sid = NA ssid = NA>Structural learning provides a framework for carrying out possible new ideas.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1001.txt | Citing Article:  P07-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For a more complete description, see (Ando and Zhang, 2005a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Ando and Zhang, 2004) for the precise formulation.</S><S sid = NA ssid = NA>The formal derivation can be found in (Ando and Zhang, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P05-1001.txt | Citing Article:  P07-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Part of the work was supported by ARDA under the NIMD program PNWD-SW-6059.</S><S sid = NA ssid = NA>Structural learning provides a framework for carrying out possible new ideas.</S> | Discourse Facet:  NA | Annotator: Automatic


