Citance Number: 1 | Reference Article:   P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['36','37'] | Citation Marker:  Dang et al, 1998 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S> | Reference Offset:  ['47'] | Reference Text:  <S sid ="47" ssid = "1">We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to­ gether subsets of existing classes with over­ lapping members.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


Citance Number: 2 | Reference Article:   P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['39'] | Citation Marker:  1998 | Citation Offset:  ['38','39'] | Citation Text:  <S sid ="38" ssid = "24">Dang et al.</S><S sid ="39" ssid = "25">(1998) modify it by adding new classes which remove the overlap between classes from the original scheme.</S> | Reference Offset:  ['47'] | Reference Text:  <S sid ="47" ssid = "1">We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to­ gether subsets of existing classes with over­ lapping members.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


Citance Number: 3 | Reference Article:   P98-1046.xml | Citing Article:  C00-2118.xml | Citation Marker Offset:  ['211'] | Citation Marker:  Dang ct a!., 1998 | Citation Offset:  ['211'] | Citation Text:  <S sid ="211" ssid = "162">\tVe think that many cases of amÂ­ biguous classification of verb types can be adÂ­ dressed with the notion of intersedive sets inÂ­ troduced by (Dang ct a!., 1998).</S> | Reference Offset:  ['47'] | Reference Text:  <S sid ="47" ssid = "1">We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to­ gether subsets of existing classes with over­ lapping members.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


Citance Number: 4 | Reference Article:   P98-1046.xml | Citing Article:  C00-2148.xml | Citation Marker Offset:  ['18'] | Citation Marker:  1998 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "4">Many verbs are listed in multiple classes, some of which have conflicting sets of syntactic frames.</S><S sid ="19" ssid = "5">Dang ct al.</S><S sid ="20" ssid = "6">(1998) showed that multiple listings could in some cases be interpreted as regular sense extensions, and defined intcrsectivc Levin classes, which are a more fine-grained, syntactically and semantically coherÂ­ ent refinement of basic Levin classes.</S> | Reference Offset:  ['4','47'] | Reference Text:  <S sid ="4" ssid = "4">We present a refinement of Levin classes, intersecÂ­ tive sets, which are a more fine-grained clasÂ­ sification and have more coherent sets of synÂ­ tactic frames and associated semantic compoÂ­ nents.</S><S sid ="47" ssid = "1">We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to­ gether subsets of existing classes with over­ lapping members.</S> | Discourse Facet:  ['Results_Citation','Method_Citation'] | Annotator:  Ankita Patel |


