Citance Number: 1 | Reference Article:  N01-1025.txt | Citing Article:  N03-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a support vector machine (SVM) based chunker yamcha (Kudo and Matsumoto, 2001) for the chunking process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chunking With Support Vector Machines</S><S sid = NA ssid = NA>In this paper, we introduce a uniform framework for chunking task based on Support Vector Machines (SVMs).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1025.txt | Citing Article:  N03-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the chunker yamcha (Kudo and Matsumoto,2001), which is based on support vector machines (Vapnik, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chunking With Support Vector Machines</S><S sid = NA ssid = NA>New statistical learning techniques such as Support Vector Machines (SVMs) (Cortes and Vapnik, 1995; Vapnik, 1998) and Boosting(Freund and Schapire, 1996) have been proposed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1025.txt | Citing Article:  N06-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On the chunking task, the bagged model also outperforms the models of Kudo and Matsumoto (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As far as accuracies are concerned, our model outperforms Tjong Kim Sang’s model.</S><S sid = NA ssid = NA>Experimental results on WSJ corpus show that our method outperforms other conventional machine learning frameworks such MBL and Maximum Entropy Models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1025.txt | Citing Article:  N06-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, we achieve higher accuracy by applying weighted voting of 8-SVM based systems which are trained using distinct chunk representations.</S><S sid = NA ssid = NA>The technique can be regarded as a sort of Dynamic Programming (DP) matching, in which the best answer is searched by maximizing the total certainty score for the combination of tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N01-1025.txt | Citing Article:  C04-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the chunker YamCha (Kudo and Matsumoto, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although we can use models with IOBES-F or IOBES-B representations for the committees for the weighted voting, we do not use them in our voting experiments.</S><S sid = NA ssid = NA>(Joachims, 1998; Taira and Haruno, 1999; Kudo and Matsumoto, 2000a).</S> | Discourse Facet:  NA | Annotator: Automatic


