Citance Number: 1 | Reference Article:  C10-1045.txt | Citing Article:  D12-1046.txt | Citation Marker Offset:  ['39'] | Citation Marker:  Green and Manning, 2010 | Citation Offset:  ['39'] | Citation Text:  <S sid ="39" ssid = "13">Joint segmentation and parsing was also investigated for Arabic (Green and Manning, 2010).</S> | Reference Offset:  ['270'] | Reference Text:  <S sid ="270" ssid = "63">6 Joint Segmentation and Parsing.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


Citance Number: 2 | Reference Article:  C10-1045.txt | Citing Article:  J13-1007.txt | Citation Marker Offset:  ['72'] | Citation Marker:  Green and Manning 2010 | Citation Offset:  ['72'] | Citation Text:  <S sid ="72" ssid = "72">Indeed, we have used it to solve the problem of parsing while recovering null elements in both English and Chinese (Cai, Chiang, and Goldberg 2011), and others have used it for the joint segmentation and parsing of Arabic (Green and Manning 2010).</S> | Reference Offset:  ['270'] | Reference Text:  <S sid ="270" ssid = "63">6 Joint Segmentation and Parsing.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


Citance Number: 3 | Reference Article:  C10-1045.txt | Citing Article:  J13-1007.txt | Citation Marker Offset:  ['148'] | Citation Marker:  Green and Manning 2010 | Citation Offset:  ['148','149'] | Citation Text:  <S sid ="148" ssid = "74">One possible solution to the unobserved word-sequence problem is a pipeline system in which an initial model is in charge of token-segmentation, and the output of the initial model is fed as the input to a second stage parser.</S><S sid ="149" ssid = "75">This is a popular approach in parsing systems for Arabic and Chinese (Jiang, Huang, and Liu 2009; Green and Manning 2010).</S> | Reference Offset:  ['275'] | Reference Text: <S sid ="275" ssid = "68">But gold segmentation is not available in application settings, so a segmenter and parser are arranged in a pipeline.</S> | Discourse Facet:  Results_Citation | Annotator:  Ankita Patel |


Citance Number: 4 | Reference Article:  C10-1045.txt | Citing Article:  J13-1007.txt | Citation Marker Offset:  ['479'] | Citation Marker:  Green and Manning 2010 | Citation Offset:  ['479','480'] | Citation Text:  <S sid ="479" ssid = "16">This is by now a fairly standard representation for multiple morphological segmentations of Hebrew utterances (Adler 2001; Bar-Haim, Simaâ€™an, and Winter 2005; Adler 2007; Cohen and Smith 2007; Goldberg, Adler, and Elhadad 2008; Goldberg and Tsarfaty 2008; Goldberg and Elhadad 2011).</S><S sid ="480" ssid = "17">It is also used for Arabic (Green and Manning 2010)</S> | Reference Offset:  ['270'] | Reference Text:  <S sid ="270" ssid = "63">6 Joint Segmentation and Parsing.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


