Citance Number: 1 | Reference Article:  P99-1048.txt | Citing Article:  C00-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Bean and Riloff (1999) proposed methods for autolnatically extracting from a corpus such special predicates, i.e., heads that correlate well with discourse novelty.</S> | Reference Offset:  ['73','143'] | Reference Text:  <S sid = 73 ssid = >Using a training corpus, we create a list of presumably existential NPs by collecting the first sentence of every text and extracting all definite NPs that were not classified by the syntactic heuristics.</S><S sid = 143 ssid = >We have developed several methods for auto-matically identifying existential noun phrases using a training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1048.txt | Citing Article:  W04-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bean and Riloff (1999) developed a system for identifying discourse-new DDs that incorporates, in addition to syntax-based heuristics aimed at recognizing predicative and established DDs using post modification heuristics similar to those used by Vieira and Poesio, additional techniques for mining from corpora unfamiliar DDs including proper names, larger situation, and semantically functional.</S> | Reference Offset:  ['64','138'] | Reference Text:  <S sid = 64 ssid = >We also developed syntactic heuristics to recognize referential NPs.</S><S sid = 138 ssid = >In previous work, the system developed by Vieria & Poesio achieved 74% recall and 85% precision for identifying &quot;larger situation and unfamiliar use&quot; NPs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1048.txt | Citing Article:  P04-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, the problem has been tackled using unsupervised (e.g., Bean and Riloff (1999)) and supervised (e.g., Evans (2001), Ng and Cardie (2002a)) approaches.</S> | Reference Offset:  ['7','142'] | Reference Text:  <S sid = 7 ssid = >The problem with this approach is that a large number of DE's may not have antecedents.</S><S sid = 142 ssid = >Using this measure, our algorithm achieved 81.8% recall with 85.6% precision using Va, and achieved 82.9% recall with 83.5% precision using Vb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1048.txt | Citing Article:  N07-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bean and Riloff (1999) extracts rules from non-anaphoric noun phrases and noun phrases patterns, which are then applied to test data to identify existential noun phrases.</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Corpus-Based Identification Of Non-Anaphoric Noun Phrases</S><S sid = 4 ssid = >Our algorithm generates lists of nonanaphoric noun phrases and noun phrase patterns from a training corpus and uses them to recognize non-anaphoric noun phrases in new texts.</S> | Discourse Facet:  NA | Annotator: Automatic


