Citance Number: 1 | Reference Article:  W04-3208.txt | Citing Article:  I05-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, methods for learning a classifier to determine sentence parallel-ness such as that proposed by Munteanu et al., (2004) can be incorporated into our Bootstrapping framework.</S><S sid = NA ssid = NA>Among these, 1,200 Chinese and 4,500 English documents are manually marked as being in-topic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3208.txt | Citing Article:  I05-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We base our candidate generation on a method that Fung and Cheung (2004) developed for extracting loose translations (comparable sentence pairs) from quasi-comparable corpora [9], as shown in Figure 2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Previous work on extracting bilingual or monolingual sentence pairs from comparable corpora has only been applied to documents that are within the same topic, or have very similar publication dates.</S><S sid = NA ssid = NA>We present a method capable of extracting parallel sentences from far more disparate “very-non-parallel corpora” than previous “comparable corpora” methods, by exploiting bootstrapping on top of IBM Model 4 EM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3208.txt | Citing Article:  I05-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, we can understand the improvement by comparing against scores obtained using the cosine-based lexical similarity metric which is typical of the majority of previous methods for mining non-parallel corpora, including that of Fung and Cheung (2004) [9].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mining Very-Non-Parallel Corpora: Parallel Sentence And Lexicon Extraction Via Bootstrapping And EM</S><S sid = NA ssid = NA>One principle for previous methods is “find-topic-extract-sentence” which claims that parallel or similar sentences can only be found in document pairs with high similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3208.txt | Citing Article:  E09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fung and Cheung (2004) approach the problem by using a cosine similarity measure to match foreign and English documents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They all use lexical information (e.g. word overlap, cosine similarity) to match documents first, before extracting sentences from these documents.</S><S sid = NA ssid = NA>The aim of this step is to roughly match the Chinese-English documents pairs that have the same topic, in order to extract parallel sentences from them.</S> | Discourse Facet:  NA | Annotator: Automatic


