Citance Number: 1 | Reference Article:  C92-3126.txt | Citing Article:  E93-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For a treatment of DOP in more formal terms we refer to (Bod, 1992a).</S> | Reference Offset:  ['97','113'] | Reference Text:  <S sid = 97 ssid = >In [Scholtes 1992] a neural net implementation f DOP is proposed, ltere we will show that conventional rule- based parsing strategies can be applied tn DOP, by converting constructions into rules.</S><S sid = 113 ssid = >An additional remark should be devoted here to formal granlmars and disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C92-3126.txt | Citing Article:  E93-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Bod, 1992b) super strong equivalence relations between other stochastic grammars are studied.</S> | Reference Offset:  ['51','115'] | Reference Text:  <S sid = 51 ssid = >A New Approach: Data Oriented Parsing The starting-point of our approach is the idea indicated above, that when a human language user analyzes sentences, there is a strong preference for the recognition of sentences, constituents and patterns that occurred before in the experience of the language user.</S><S sid = 115 ssid = >No one has ever succeeded in doing so except in relatively small grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C92-3126.txt | Citing Article:  E93-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is easy to show that an input string can be parsed with conventional parsing techniques, by applying subtrees instead of rules to the input string (Bod, 1992a).</S> | Reference Offset:  ['56','101'] | Reference Text:  <S sid = 56 ssid = >Parsing then does not happen by applying grammatical rules to rite input sentence, but by constructing an optinml analogy between the input sentence and as many corpus sentences ,as possible.</S><S sid = 101 ssid = >Often we are not interested in all parses of an alnbiguous input string, neither in their exact probabilities, but only in which parse is the preferred parse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C92-3126.txt | Citing Article:  P12-2062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In their place we added a new feature, the probability of a rule's source side tree given its root label, which is essentially the same model used in Data-Oriented Parsing (Bod, 1992).</S> | Reference Offset:  ['0','60'] | Reference Text:  <S sid = 0 ssid = >A COMPUTATIONAL MODEL OF LANGUAGE DATA ORIENTED PARSING RENS BOlt* Department of Computational I Jnguistics University of Amsterdmn Spuistraat 134 1012 VII Amsterdam The Netherlands rens@alf.let.uva.nl PERFORMANCE: Abstract 1)ata Oriented Parsing (IX)P) is a model where no abstract rules, but language xt~riences in the ti3ru~ of all ,malyzed COlpUS, constitute the basis for langnage processing.</S><S sid = 60 ssid = >Finally, the preferred parse is added to the corpus, bringing it into a new state.</S> | Discourse Facet:  NA | Annotator: Automatic


