Citance Number: 1 | Reference Article:  C02-1139.txt | Citing Article:  P03-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >V. Ng and C. Cardieanalysed in (Ng and Cardie, 2002) the impact of such a prefiltering on their co reference resolution engine.</S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >?s???`???J?d?????5???o?</S><S sid = 96 ssid = >?2?8?2?fl?fl?g???</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C02-1139.txt | Citing Article:  E12-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Various natural language processing (NLP) tasks benefit from the identification of elliptical subjects, primarily anaphora resolution (Mitkov, 2002) and co-reference resolution (Ng and Cardie, 2002).</S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >?s???`???J?d?????5???o?</S><S sid = 96 ssid = >?2?8?2?fl?fl?g???</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C02-1139.txt | Citing Article:  N07-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As an improvement, Ng and Cardie (2002a) and Ng (2004) train a separate model to classify an anaphor as either anaphoric or non-anaphoric.</S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >?s???`???J?d?????5???o?</S><S sid = 96 ssid = >?2?8?2?fl?fl?g???</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C02-1139.txt | Citing Article:  N07-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The output of this classifier can be used either as a pre-filter (Ng and Cardie,2002a) so that non-anaphoric anaphors will not be precessed in the co reference system, or as a set of features in the co reference model (Ng, 2004).</S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >?s???`???J?d?????5???o?</S><S sid = 96 ssid = >?2?8?2?fl?fl?g???</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C02-1139.txt | Citing Article:  N07-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is different from (Ng and Cardie, 2002a; Ng, 2004) where their anaphoricty models are trained independently of the co reference model, and it is either used as a pre-filter, or its output is used as features in the co reference model.</S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >?s???`???J?d?????5???o?</S><S sid = 96 ssid = >?2?8?2?fl?fl?g???</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C02-1139.txt | Citing Article:  N07-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >?s???`???J?d?????5???o?</S><S sid = 96 ssid = >?2?8?2?fl?fl?g???</S> | Discourse Facet:  NA | Annotator: Automatic


