Citance Number: 1 | Reference Article:  W04-1221.txt | Citing Article:  W04-1213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, CRFs were employed by one system in isolation (Settles, 2004) and by another system in combination with SVMs (Song et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CRFs are presented in more complete detail by Lafferty et al. (2001).</S><S sid = NA ssid = NA>In a previous attempt to use a Hidden Markov Model to simultaneously recognize multiple biomedical entities (Collier et al., 2000), HMM performance for a particular entity seemed more or less proportional to its frequency in the data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-1221.txt | Citing Article:  W04-1213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, one participant (Settles, 2004) reported that their at tempt to utilize gazetteers (together with other resources) had failed in gaining better overall performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The deleterious effect of the semantic lexicons is surprising and puzzling.7 However, even though semantic lexicons slightly decrease overall performance, it is worthwhile to note that adding lexicons actually improves both recall and precision for the RNA and CELL-LINE entities.</S><S sid = NA ssid = NA>I show that this approach can achieve an overall F1 measure around 70, which seems to be the current state of the art.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-1221.txt | Citing Article:  W04-1213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Settles (2004)'s CRF system deserves special note in the sense that it achieved comparable performance to top ranked systems with a rather simple feature set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also of note is that, in both experiments, the CRF framework achieves somewhat comparable performance across all entities.</S><S sid = NA ssid = NA>I have shown that a CRF-based model with only simple orthographic features can achieve performance near the current state of the art, while using semantic lexicons (as presented here) do not positively affect performance.$ While the system presented here shows promise, there is still much to be explored.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-1221.txt | Citing Article:  W06-3318.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While most of earlier approaches rely on handcrafted rules or dictionaries, many recent works adopt machine learning approaches ,e.g, SVM (Lee, 2003), HMM (Zhou, 2004), Maximum Entropy (Lin, 2004) and CRF (Settles,2004), especially with the availability of annotated corpora such as GENIA, achieving state-of-the-art performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I have shown that a CRF-based model with only simple orthographic features can achieve performance near the current state of the art, while using semantic lexicons (as presented here) do not positively affect performance.$ While the system presented here shows promise, there is still much to be explored.</S><S sid = NA ssid = NA>The system described here was developed as part of the BioNLP/NLPBA 2004 shared task.</S> | Discourse Facet:  NA | Annotator: Automatic


